Seed	Name	Perfection	Weapon_Projectile_Damage	Weapon_Projectile_ReloadTime	Weapon_Projectile_BurstCap
43152	Pressurised Heat Pump	0.67	+1%		+1.0
43153	Pressurised Compression Unit	0.53	+1%	-8%
43154	Copper Dynamo	0.73	+1%	-6%	+1.0
43155	Reinforced Internals	0.67	+1%		+1.0
43156	Gold-Plated Barrel	0.67	+1%		+1.0
43157	Gold-Plated Compression Unit	0.67	+1%		+1.0
43158	Copper Heat Pump	0.67	+1%		+1.0
43159	Gold-Plated Compression Unit	0.8	+1%	-7%	+1.0
43160	Enhanced Muzzle	1.0	+1%	-10%	+1.0
43161	Copper Dynamo	0.67	+1%	-10%
43162	Reinforced Shells	0.53	+1%	-8%
43163	Pressurised Shells	0.67	+1%		+1.0
43164	Pressurised Launch System	0.53	+1%	-8%
43165	Gold-Plated Shells	0.47	+1%	-7%
43166	Reinforced Heat Pump	0.67	+1%		+1.0
43167	Enhanced Launch System	0.67	+1%		+1.0
43168	Gold-Plated Barrel	0.67	+1%	-10%
43169	Gold-Plated Muzzle	0.87	+1%	-8%	+1.0
43170	Copper Dynamo	0.67	+1%		+1.0
43171	Pressurised Dynamo	0.53	+1%	-8%
43172	Enhanced Compression Unit	0.8	+1%	-7%	+1.0
43173	Reinforced Muzzle	0.67	+1%		+1.0
43174	Reinforced Wiring	0.6	+1%	-9%
43175	Copper Launch System	0.73	+1%	-6%	+1.0
43176	Reinforced Launch System	0.53	+1%	-8%
43177	Reinforced Muzzle	0.6	+1%	-9%
43178	Enhanced Barrel	0.4	+1%	-6%
43179	Gold-Plated Compression Unit	0.73	+1%	-6%	+1.0
43180	Reinforced Heat Pump	0.67	+1%		+1.0
43181	Copper Wiring	0.67	+1%		+1.0
43182	Enhanced Internals	0.53	+1%	-8%
43183	Gold-Plated Internals	0.4	+1%	-6%
43184	Pressurised Trigger	0.67	+1%		+1.0
43185	Gold-Plated Launch System	0.67	+1%	-10%
43186	Enhanced Shells	0.67	+1%		+1.0
43187	Copper Muzzle	0.67	+1%		+1.0
43188	Enhanced Dynamo	0.67	+1%		+1.0
43189	Pressurised Trigger	0.47	+1%	-7%
43190	Pressurised Shells	0.67	+1%		+1.0
43191	Reinforced Heat Pump	0.47	+1%	-7%
43192	Gold-Plated Internals	0.67	+1%		+1.0
43193	Copper Muzzle	0.67	+1%		+1.0
43194	Reinforced Internals	0.67	+1%		+1.0
43195	Pressurised Internals	0.4	+1%	-6%
43196	Copper Heat Pump	0.67	+1%		+1.0
43197	Gold-Plated Trigger	0.4	+1%	-6%
43198	Enhanced Compression Unit	0.67	+1%		+1.0
43199	Gold-Plated Trigger	0.67	+1%		+1.0
43200	Copper Launch System	0.4	+1%	-6%
43201	Gold-Plated Heat Pump	0.67	+1%		+1.0
43202	Gold-Plated Muzzle	0.47	+1%	-7%
43203	Enhanced Heat Pump	0.67	+1%		+1.0
43204	Copper Wiring	0.67	+1%		+1.0
43205	Copper Launch System	0.6	+1%	-9%
43206	Copper Internals	0.4	+1%	-6%
43207	Gold-Plated Shells	0.53	+1%	-8%
43208	Enhanced Launch System	0.47	+1%	-7%
43209	Gold-Plated Launch System	0.4	+1%	-6%
43210	Reinforced Compression Unit	0.4	+1%	-6%
43211	Copper Barrel	0.4	+1%	-6%
43212	Gold-Plated Trigger	0.4	+1%	-6%
43213	Copper Trigger	0.67	+1%		+1.0
43214	Copper Dynamo	0.4	+1%	-6%
43215	Pressurised Trigger	0.67	+1%		+1.0
43216	Pressurised Muzzle	0.4	+1%	-6%
43217	Pressurised Muzzle	0.4	+1%	-6%
43218	Enhanced Heat Pump	0.8	+1%	-7%	+1.0
43219	Copper Dynamo	0.73	+1%	-6%	+1.0
43220	Reinforced Muzzle	0.73	+1%	-6%	+1.0
43221	Pressurised Shells	0.67	+1%		+1.0
43222	Gold-Plated Compression Unit	0.67	+1%		+1.0
43223	Reinforced Compression Unit	0.47	+1%	-7%
43224	Pressurised Internals	0.47	+1%	-7%
43225	Pressurised Muzzle	0.67	+1%		+1.0
43226	Gold-Plated Compression Unit	0.4	+1%	-6%
43227	Pressurised Compression Unit	0.87	+1%	-8%	+1.0
43228	Pressurised Heat Pump	0.53	+1%	-8%
43229	Enhanced Dynamo	0.53	+1%	-8%
43230	Gold-Plated Wiring	0.4	+1%	-6%
43231	Enhanced Muzzle	0.67	+1%		+1.0
43232	Reinforced Compression Unit	1.0	+1%	-10%	+1.0
43233	Gold-Plated Wiring	0.4	+1%	-6%
43234	Copper Launch System	0.47	+1%	-7%
43235	Enhanced Launch System	0.73	+1%	-6%	+1.0
43236	Pressurised Wiring	0.93	+1%	-9%	+1.0
43237	Gold-Plated Muzzle	0.4	+1%	-6%
43238	Reinforced Wiring	0.67	+1%		+1.0
43239	Gold-Plated Trigger	0.67	+1%		+1.0
43240	Enhanced Barrel	0.67	+1%		+1.0
43241	Reinforced Trigger	0.67	+1%	-10%
43242	Pressurised Trigger	0.67	+1%	-10%
43243	Reinforced Heat Pump	0.67	+1%		+1.0
43244	Pressurised Dynamo	0.8	+1%	-7%	+1.0
43245	Gold-Plated Wiring	1.0	+1%	-10%	+1.0
43246	Reinforced Muzzle	0.67	+1%		+1.0
43247	Enhanced Trigger	0.73	+1%	-6%	+1.0
43248	Enhanced Launch System	0.4	+1%	-6%
43249	Enhanced Barrel	0.67	+1%		+1.0
43250	Enhanced Internals	0.73	+1%	-6%	+1.0
43251	Reinforced Launch System	0.67	+1%		+1.0
43252	Enhanced Compression Unit	0.53	+1%	-8%
43253	Pressurised Wiring	0.67	+1%		+1.0
43254	Enhanced Muzzle	0.67	+1%		+1.0
43255	Copper Wiring	0.4	+1%	-6%
43256	Enhanced Launch System	0.67	+1%		+1.0
43257	Reinforced Compression Unit	0.4	+1%	-6%
43258	Enhanced Launch System	0.47	+1%	-7%
43259	Copper Shells	0.4	+1%	-6%
43260	Pressurised Barrel	0.47	+1%	-7%
43261	Enhanced Compression Unit	0.8	+1%	-7%	+1.0
43262	Reinforced Launch System	0.4	+1%	-6%
43263	Reinforced Muzzle	0.53	+1%	-8%
43264	Copper Wiring	0.53	+1%	-8%
43265	Enhanced Compression Unit	0.4	+1%	-6%
43266	Copper Dynamo	0.47	+1%	-7%
43267	Copper Heat Pump	0.4	+1%	-6%
43268	Reinforced Muzzle	0.6	+1%	-9%
43269	Reinforced Compression Unit	0.67	+1%		+1.0
43270	Enhanced Heat Pump	0.4	+1%	-6%
43271	Enhanced Dynamo	0.67	+1%		+1.0
43272	Enhanced Shells	0.4	+1%	-6%
43273	Gold-Plated Shells	0.4	+1%	-6%
43274	Reinforced Internals	0.4	+1%	-6%
43275	Pressurised Muzzle	0.4	+1%	-6%
43276	Pressurised Barrel	0.67	+1%		+1.0
43277	Reinforced Muzzle	0.8	+1%	-7%	+1.0
43278	Copper Shells	0.4	+1%	-6%
43279	Pressurised Muzzle	0.67	+1%		+1.0
43280	Enhanced Internals	0.67	+1%		+1.0
43281	Pressurised Compression Unit	0.67	+1%	-10%
43282	Pressurised Muzzle	0.6	+1%	-9%
43283	Enhanced Dynamo	0.47	+1%	-7%
43284	Enhanced Wiring	0.67	+1%		+1.0
43285	Copper Heat Pump	0.67	+1%		+1.0
43286	Enhanced Compression Unit	0.53	+1%	-8%
43287	Copper Internals	0.47	+1%	-7%
43288	Reinforced Barrel	0.67	+1%		+1.0
43289	Reinforced Heat Pump	0.67	+1%	-10%
43290	Enhanced Muzzle	0.4	+1%	-6%
43291	Reinforced Barrel	0.67	+1%		+1.0
43292	Copper Shells	0.87	+1%	-8%	+1.0
43293	Enhanced Muzzle	0.4	+1%	-6%
43294	Gold-Plated Launch System	0.67	+1%		+1.0
43295	Enhanced Heat Pump	0.4	+1%	-6%
43296	Enhanced Muzzle	0.67	+1%		+1.0
43297	Gold-Plated Launch System	0.67	+1%		+1.0
43298	Pressurised Launch System	0.93	+1%	-9%	+1.0
43299	Pressurised Heat Pump	0.67	+1%		+1.0
43300	Reinforced Compression Unit	0.67	+1%		+1.0
43301	Enhanced Heat Pump	0.6	+1%	-9%
43302	Gold-Plated Barrel	0.67	+1%		+1.0
43303	Gold-Plated Wiring	0.8	+1%	-7%	+1.0
43304	Reinforced Muzzle	0.67	+1%		+1.0
43305	Enhanced Trigger	0.4	+1%	-6%
43306	Pressurised Shells	0.53	+1%	-8%
43307	Gold-Plated Compression Unit	0.67	+1%		+1.0
43308	Reinforced Internals	0.67	+1%		+1.0
43309	Enhanced Launch System	0.67	+1%		+1.0
43310	Copper Internals	0.4	+1%	-6%
43311	Pressurised Barrel	0.73	+1%	-6%	+1.0
43312	Enhanced Dynamo	0.67	+1%	-10%
43313	Reinforced Muzzle	0.53	+1%	-8%
43314	Reinforced Muzzle	0.67	+1%		+1.0
43315	Pressurised Muzzle	0.67	+1%		+1.0
43316	Reinforced Barrel	0.67	+1%		+1.0
43317	Enhanced Barrel	0.4	+1%	-6%
43318	Enhanced Launch System	0.4	+1%	-6%
43319	Copper Trigger	0.4	+1%	-6%
43320	Reinforced Shells	0.47	+1%	-7%
43321	Pressurised Trigger	0.4	+1%	-6%
43322	Reinforced Trigger	0.87	+1%	-8%	+1.0
43323	Gold-Plated Launch System	0.73	+1%	-6%	+1.0
43324	Copper Launch System	0.6	+1%	-9%
43325	Reinforced Wiring	0.73	+1%	-6%	+1.0
43326	Gold-Plated Heat Pump	0.4	+1%	-6%
43327	Pressurised Trigger	0.73	+1%	-6%	+1.0
43328	Pressurised Shells	0.73	+1%	-6%	+1.0
43329	Gold-Plated Compression Unit	0.4	+1%	-6%
43330	Reinforced Wiring	0.8	+1%	-7%	+1.0
43331	Reinforced Dynamo	0.67	+1%		+1.0
43332	Enhanced Barrel	0.67	+1%		+1.0
43333	Enhanced Launch System	0.4	+1%	-6%
43334	Copper Trigger	0.67	+1%		+1.0
43335	Pressurised Internals	0.47	+1%	-7%
43336	Enhanced Shells	0.67	+1%		+1.0
43337	Reinforced Dynamo	0.67	+1%		+1.0
43338	Enhanced Heat Pump	0.67	+1%		+1.0
43339	Enhanced Heat Pump	0.67	+1%		+1.0
43340	Copper Launch System	0.8	+1%	-7%	+1.0
43341	Copper Heat Pump	0.87	+1%	-8%	+1.0
43342	Reinforced Shells	0.67	+1%		+1.0
43343	Gold-Plated Barrel	0.4	+1%	-6%
43344	Gold-Plated Compression Unit	0.67	+1%		+1.0
43345	Enhanced Launch System	0.67	+1%		+1.0
43346	Reinforced Internals	0.67	+1%		+1.0
43347	Copper Shells	0.67	+1%		+1.0
43348	Enhanced Internals	0.6	+1%	-9%
43349	Gold-Plated Heat Pump	0.67	+1%		+1.0
43350	Pressurised Launch System	0.93	+1%	-9%	+1.0
43351	Enhanced Trigger	0.47	+1%	-7%
43352	Copper Muzzle	0.47	+1%	-7%
43353	Pressurised Trigger	0.67	+1%		+1.0
43354	Gold-Plated Internals	0.4	+1%	-6%
43355	Pressurised Trigger	0.4	+1%	-6%
43356	Gold-Plated Wiring	0.67	+1%		+1.0
43357	Reinforced Launch System	0.67	+1%		+1.0
43358	Enhanced Wiring	0.67	+1%		+1.0
43359	Pressurised Muzzle	0.67	+1%		+1.0
43360	Gold-Plated Dynamo	0.4	+1%	-6%
43361	Copper Launch System	0.67	+1%		+1.0
43362	Pressurised Heat Pump	0.47	+1%	-7%
43363	Copper Dynamo	0.4	+1%	-6%
43364	Reinforced Compression Unit	0.67	+1%	-10%
43365	Pressurised Compression Unit	0.4	+1%	-6%
43366	Pressurised Trigger	0.8	+1%	-7%	+1.0
43367	Reinforced Trigger	0.67	+1%		+1.0
43368	Reinforced Wiring	0.6	+1%	-9%
43369	Pressurised Launch System	0.4	+1%	-6%
43370	Copper Compression Unit	0.4	+1%	-6%
43371	Pressurised Launch System	0.67	+1%		+1.0
43372	Copper Heat Pump	0.4	+1%	-6%
43373	Enhanced Barrel	0.67	+1%		+1.0
43374	Copper Muzzle	0.73	+1%	-6%	+1.0
43375	Reinforced Dynamo	0.87	+1%	-8%	+1.0
43376	Reinforced Trigger	0.4	+1%	-6%
43377	Pressurised Launch System	0.47	+1%	-7%
43378	Copper Muzzle	0.4	+1%	-6%
43379	Reinforced Muzzle	0.67	+1%		+1.0
43380	Gold-Plated Launch System	0.53	+1%	-8%
43381	Copper Heat Pump	0.4	+1%	-6%
43382	Copper Compression Unit	0.8	+1%	-7%	+1.0
43383	Pressurised Wiring	0.4	+1%	-6%
43384	Reinforced Heat Pump	0.67	+1%		+1.0
43385	Gold-Plated Muzzle	0.67	+1%		+1.0
43386	Gold-Plated Trigger	0.67	+1%		+1.0
43387	Enhanced Dynamo	0.4	+1%	-6%
43388	Enhanced Muzzle	0.4	+1%	-6%
43389	Copper Compression Unit	0.67	+1%		+1.0
43390	Gold-Plated Barrel	0.67	+1%		+1.0
43391	Enhanced Shells	0.73	+1%	-6%	+1.0
43392	Gold-Plated Dynamo	0.6	+1%	-9%
43393	Copper Dynamo	0.67	+1%		+1.0
43394	Gold-Plated Launch System	0.67	+1%		+1.0
43395	Copper Compression Unit	0.4	+1%	-6%
43396	Gold-Plated Trigger	0.67	+1%		+1.0
43397	Enhanced Heat Pump	0.67	+1%		+1.0
43398	Reinforced Heat Pump	0.4	+1%	-6%
43399	Enhanced Compression Unit	0.67	+1%	-10%
43400	Pressurised Dynamo	0.4	+1%	-6%
43401	Reinforced Compression Unit	0.67	+1%		+1.0
43402	Gold-Plated Barrel	0.67	+1%		+1.0
43403	Gold-Plated Barrel	0.4	+1%	-6%
43404	Pressurised Heat Pump	0.67	+1%		+1.0
43405	Gold-Plated Muzzle	0.87	+1%	-8%	+1.0
43406	Pressurised Barrel	0.47	+1%	-7%
43407	Enhanced Barrel	0.67	+1%		+1.0
43408	Reinforced Internals	0.4	+1%	-6%
43409	Reinforced Shells	0.8	+1%	-7%	+1.0
43410	Copper Wiring	0.4	+1%	-6%
43411	Enhanced Shells	0.67	+1%		+1.0
43412	Enhanced Internals	0.67	+1%		+1.0
43413	Enhanced Internals	0.67	+1%		+1.0
43414	Reinforced Shells	0.53	+1%	-8%
43415	Gold-Plated Shells	0.67	+1%		+1.0
43416	Gold-Plated Internals	0.67	+1%		+1.0
43417	Reinforced Launch System	0.67	+1%		+1.0
43418	Gold-Plated Compression Unit	0.67	+1%		+1.0
43419	Reinforced Muzzle	0.4	+1%	-6%
43420	Pressurised Trigger	0.67	+1%		+1.0
43421	Pressurised Trigger	0.6	+1%	-9%
43422	Gold-Plated Heat Pump	0.4	+1%	-6%
43423	Copper Internals	0.67	+1%		+1.0
43424	Enhanced Barrel	0.53	+1%	-8%
43425	Copper Dynamo	0.4	+1%	-6%
43426	Copper Compression Unit	0.67	+1%		+1.0
43427	Gold-Plated Dynamo	0.4	+1%	-6%
43428	Reinforced Barrel	0.4	+1%	-6%
43429	Enhanced Heat Pump	0.4	+1%	-6%
43430	Copper Heat Pump	0.4	+1%	-6%
43431	Pressurised Wiring	0.4	+1%	-6%
43432	Gold-Plated Trigger	0.67	+1%		+1.0
43433	Enhanced Dynamo	0.8	+1%	-7%	+1.0
43434	Copper Wiring	0.47	+1%	-7%
43435	Gold-Plated Dynamo	0.67	+1%		+1.0
43436	Gold-Plated Dynamo	0.47	+1%	-7%
43437	Reinforced Internals	0.67	+1%		+1.0
43438	Enhanced Trigger	0.73	+1%	-6%	+1.0
43439	Pressurised Dynamo	0.67	+1%		+1.0
43440	Enhanced Barrel	0.67	+1%		+1.0
43441	Pressurised Dynamo	0.67	+1%		+1.0
43442	Reinforced Trigger	0.4	+1%	-6%
43443	Copper Dynamo	0.53	+1%	-8%
43444	Enhanced Wiring	0.47	+1%	-7%
43445	Copper Dynamo	0.67	+1%		+1.0
43446	Enhanced Shells	0.73	+1%	-6%	+1.0
43447	Copper Wiring	0.67	+1%		+1.0
43448	Reinforced Barrel	0.47	+1%	-7%
43449	Reinforced Shells	0.87	+1%	-8%	+1.0
43450	Pressurised Barrel	0.47	+1%	-7%
43451	Gold-Plated Launch System	0.67	+1%		+1.0
43452	Gold-Plated Muzzle	0.4	+1%	-6%
43453	Reinforced Trigger	0.67	+1%		+1.0
43454	Gold-Plated Launch System	0.73	+1%	-6%	+1.0
43455	Reinforced Shells	0.67	+1%		+1.0
43456	Pressurised Shells	0.67	+1%		+1.0
43457	Pressurised Heat Pump	0.67	+1%		+1.0
43458	Copper Internals	0.67	+1%		+1.0
43459	Pressurised Launch System	0.4	+1%	-6%
43460	Copper Trigger	0.67	+1%		+1.0
43461	Enhanced Trigger	1.0	+1%	-10%	+1.0
43462	Pressurised Muzzle	0.67	+1%		+1.0
43463	Pressurised Wiring	0.67	+1%		+1.0
43464	Pressurised Shells	0.67	+1%		+1.0
43465	Enhanced Wiring	0.4	+1%	-6%
43466	Enhanced Launch System	0.47	+1%	-7%
43467	Gold-Plated Internals	0.67	+1%		+1.0
43468	Pressurised Barrel	0.4	+1%	-6%
43469	Reinforced Launch System	0.4	+1%	-6%
43470	Pressurised Muzzle	0.67	+1%		+1.0
43471	Pressurised Barrel	0.67	+1%		+1.0
43472	Pressurised Internals	0.67	+1%		+1.0
43473	Gold-Plated Internals	0.4	+1%	-6%
43474	Gold-Plated Compression Unit	0.67	+1%		+1.0
43475	Pressurised Compression Unit	0.4	+1%	-6%
43476	Enhanced Trigger	0.67	+1%		+1.0
43477	Copper Muzzle	0.4	+1%	-6%
43478	Reinforced Compression Unit	0.73	+1%	-6%	+1.0
43479	Copper Launch System	0.67	+1%		+1.0
43480	Reinforced Trigger	0.4	+1%	-6%
43481	Gold-Plated Launch System	0.67	+1%		+1.0
43482	Enhanced Trigger	0.67	+1%		+1.0
43483	Pressurised Dynamo	0.67	+1%		+1.0
43484	Gold-Plated Heat Pump	0.8	+1%	-7%	+1.0
43485	Copper Heat Pump	0.67	+1%		+1.0
43486	Copper Dynamo	0.4	+1%	-6%
43487	Pressurised Shells	0.73	+1%	-6%	+1.0
43488	Copper Trigger	1.0	+1%	-10%	+1.0
43489	Gold-Plated Heat Pump	0.67	+1%		+1.0
43490	Reinforced Heat Pump	0.67	+1%		+1.0
43491	Reinforced Wiring	0.67	+1%		+1.0
43492	Copper Heat Pump	0.67	+1%		+1.0
43493	Enhanced Barrel	0.53	+1%	-8%
43494	Enhanced Trigger	0.73	+1%	-6%	+1.0
43495	Enhanced Internals	0.4	+1%	-6%
43496	Enhanced Trigger	0.53	+1%	-8%
43497	Copper Muzzle	0.67	+1%		+1.0
43498	Pressurised Heat Pump	0.4	+1%	-6%
43499	Gold-Plated Wiring	0.4	+1%	-6%
43500	Copper Internals	0.67	+1%		+1.0
43501	Copper Launch System	0.47	+1%	-7%
43502	Reinforced Barrel	0.73	+1%	-6%	+1.0
43503	Enhanced Wiring	0.67	+1%		+1.0
43504	Reinforced Shells	0.73	+1%	-6%	+1.0
43505	Enhanced Shells	0.67	+1%		+1.0
43506	Pressurised Dynamo	0.67	+1%		+1.0
43507	Pressurised Heat Pump	0.67	+1%		+1.0
43508	Gold-Plated Barrel	0.67	+1%		+1.0
43509	Reinforced Barrel	0.4	+1%	-6%
43510	Pressurised Wiring	0.8	+1%	-7%	+1.0
43511	Reinforced Trigger	0.67	+1%		+1.0
43512	Enhanced Compression Unit	0.67	+1%		+1.0
43513	Pressurised Shells	0.4	+1%	-6%
43514	Reinforced Shells	0.93	+1%	-9%	+1.0
43515	Enhanced Trigger	0.73	+1%	-6%	+1.0
43516	Gold-Plated Dynamo	0.67	+1%		+1.0
43517	Gold-Plated Trigger	0.87	+1%	-8%	+1.0
43518	Reinforced Internals	0.67	+1%		+1.0
43519	Gold-Plated Compression Unit	0.67	+1%		+1.0
43520	Copper Launch System	0.67	+1%	-10%
43521	Enhanced Compression Unit	0.4	+1%	-6%
43522	Gold-Plated Muzzle	0.4	+1%	-6%
43523	Enhanced Shells	0.67	+1%		+1.0
43524	Reinforced Internals	0.53	+1%	-8%
43525	Enhanced Trigger	0.4	+1%	-6%
43526	Copper Muzzle	0.73	+1%	-6%	+1.0
43527	Gold-Plated Trigger	0.4	+1%	-6%
43528	Gold-Plated Wiring	0.67	+1%		+1.0
43529	Copper Wiring	0.67	+1%		+1.0
43530	Reinforced Barrel	0.67	+1%		+1.0
43531	Pressurised Barrel	0.67	+1%		+1.0
43532	Enhanced Wiring	0.67	+1%		+1.0
43533	Copper Shells	0.67	+1%		+1.0
43534	Enhanced Wiring	0.53	+1%	-8%
43535	Gold-Plated Dynamo	0.67	+1%	-10%
43536	Reinforced Muzzle	0.67	+1%		+1.0
43537	Reinforced Heat Pump	0.67	+1%		+1.0
43538	Gold-Plated Dynamo	0.87	+1%	-8%	+1.0
43539	Reinforced Wiring	0.4	+1%	-6%
43540	Reinforced Compression Unit	0.4	+1%	-6%
43541	Gold-Plated Barrel	0.47	+1%	-7%
43542	Gold-Plated Wiring	0.67	+1%		+1.0
43543	Reinforced Barrel	0.67	+1%		+1.0
43544	Pressurised Launch System	0.47	+1%	-7%
43545	Reinforced Barrel	0.67	+1%		+1.0
43546	Gold-Plated Launch System	0.73	+1%	-6%	+1.0
43547	Pressurised Compression Unit	0.47	+1%	-7%
43548	Gold-Plated Trigger	0.67	+1%		+1.0
43549	Reinforced Trigger	0.73	+1%	-6%	+1.0
43550	Gold-Plated Internals	0.67	+1%		+1.0
43551	Copper Internals	0.67	+1%	-10%
43552	Pressurised Internals	0.4	+1%	-6%
43553	Reinforced Dynamo	0.67	+1%		+1.0
43554	Enhanced Shells	0.67	+1%		+1.0
43555	Gold-Plated Dynamo	0.67	+1%		+1.0
43556	Gold-Plated Trigger	0.87	+1%	-8%	+1.0
43557	Reinforced Compression Unit	0.67	+1%		+1.0
43558	Pressurised Heat Pump	0.67	+1%		+1.0
43559	Enhanced Muzzle	0.6	+1%	-9%
43560	Pressurised Internals	0.47	+1%	-7%
43561	Pressurised Wiring	0.67	+1%		+1.0
43562	Gold-Plated Launch System	0.4	+1%	-6%
43563	Gold-Plated Dynamo	0.47	+1%	-7%
43564	Gold-Plated Trigger	0.47	+1%	-7%
43565	Enhanced Compression Unit	0.4	+1%	-6%
43566	Gold-Plated Heat Pump	0.67	+1%		+1.0
43567	Copper Compression Unit	0.67	+1%		+1.0
43568	Gold-Plated Muzzle	0.6	+1%	-9%
43569	Gold-Plated Barrel	0.6	+1%	-9%
43570	Reinforced Heat Pump	0.8	+1%	-7%	+1.0
43571	Reinforced Launch System	0.67	+1%		+1.0
43572	Copper Launch System	0.67	+1%		+1.0
43573	Enhanced Barrel	0.73	+1%	-6%	+1.0
43574	Enhanced Trigger	0.67	+1%		+1.0
43575	Copper Compression Unit	0.67	+1%		+1.0
43576	Gold-Plated Internals	0.67	+1%		+1.0
43577	Copper Internals	0.67	+1%		+1.0
43578	Reinforced Compression Unit	0.4	+1%	-6%
43579	Copper Trigger	0.93	+1%	-9%	+1.0
43580	Enhanced Shells	0.67	+1%		+1.0
43581	Enhanced Shells	0.67	+1%		+1.0
43582	Gold-Plated Shells	0.67	+1%		+1.0
43583	Gold-Plated Launch System	0.6	+1%	-9%
43584	Enhanced Dynamo	0.67	+1%		+1.0
43585	Copper Internals	0.4	+1%	-6%
43586	Enhanced Compression Unit	0.73	+1%	-6%	+1.0
43587	Reinforced Shells	0.53	+1%	-8%
43588	Gold-Plated Compression Unit	0.67	+1%		+1.0
43589	Pressurised Internals	0.67	+1%		+1.0
43590	Reinforced Launch System	0.93	+1%	-9%	+1.0
43591	Pressurised Launch System	0.8	+1%	-7%	+1.0
43592	Pressurised Muzzle	0.67	+1%	-10%
43593	Gold-Plated Muzzle	0.73	+1%	-6%	+1.0
43594	Copper Trigger	0.4	+1%	-6%
43595	Pressurised Internals	0.4	+1%	-6%
43596	Pressurised Wiring	0.67	+1%		+1.0
43597	Pressurised Wiring	0.67	+1%		+1.0
43598	Copper Launch System	0.67	+1%		+1.0
43599	Pressurised Internals	0.67	+1%		+1.0
43600	Enhanced Launch System	0.67	+1%		+1.0
43601	Copper Shells	0.67	+1%		+1.0
43602	Reinforced Compression Unit	0.67	+1%		+1.0
43603	Gold-Plated Shells	1.0	+1%	-10%	+1.0
43604	Reinforced Trigger	0.6	+1%	-9%
43605	Pressurised Muzzle	0.4	+1%	-6%
43606	Gold-Plated Internals	0.47	+1%	-7%
43607	Copper Internals	0.67	+1%		+1.0
43608	Copper Trigger	0.4	+1%	-6%
43609	Pressurised Compression Unit	0.67	+1%		+1.0
43610	Reinforced Internals	0.53	+1%	-8%
43611	Reinforced Internals	0.67	+1%		+1.0
43612	Pressurised Dynamo	1.0	+1%	-10%	+1.0
43613	Enhanced Trigger	0.47	+1%	-7%
43614	Gold-Plated Internals	0.47	+1%	-7%
43615	Pressurised Trigger	0.67	+1%		+1.0
43616	Enhanced Internals	0.67	+1%		+1.0
43617	Copper Launch System	0.4	+1%	-6%
43618	Pressurised Trigger	0.67	+1%		+1.0
43619	Reinforced Internals	0.4	+1%	-6%
43620	Reinforced Dynamo	0.67	+1%		+1.0
43621	Gold-Plated Barrel	0.47	+1%	-7%
43622	Gold-Plated Muzzle	0.4	+1%	-6%
43623	Pressurised Compression Unit	0.67	+1%		+1.0
43624	Enhanced Wiring	0.73	+1%	-6%	+1.0
43625	Enhanced Trigger	0.87	+1%	-8%	+1.0
43626	Copper Dynamo	0.67	+1%		+1.0
43627	Pressurised Heat Pump	0.73	+1%	-6%	+1.0
43628	Gold-Plated Launch System	0.4	+1%	-6%
43629	Reinforced Compression Unit	0.53	+1%	-8%
43630	Pressurised Compression Unit	0.67	+1%		+1.0
43631	Copper Compression Unit	0.67	+1%		+1.0
43632	Enhanced Barrel	0.67	+1%		+1.0
43633	Reinforced Dynamo	0.53	+1%	-8%
43634	Gold-Plated Dynamo	0.4	+1%	-6%
43635	Copper Dynamo	0.67	+1%		+1.0
43636	Copper Trigger	1.0	+1%	-10%	+1.0
43637	Pressurised Wiring	0.67	+1%	-10%
43638	Reinforced Muzzle	0.67	+1%		+1.0
43639	Enhanced Barrel	0.4	+1%	-6%
43640	Reinforced Wiring	0.67	+1%		+1.0
43641	Copper Wiring	0.87	+1%	-8%	+1.0
43642	Gold-Plated Compression Unit	0.73	+1%	-6%	+1.0
43643	Pressurised Muzzle	0.67	+1%		+1.0
43644	Copper Compression Unit	0.4	+1%	-6%
43645	Copper Barrel	0.47	+1%	-7%
43646	Copper Shells	0.67	+1%		+1.0
43647	Gold-Plated Launch System	0.87	+1%	-8%	+1.0
43648	Reinforced Heat Pump	0.6	+1%	-9%
43649	Pressurised Shells	0.47	+1%	-7%
43650	Gold-Plated Internals	0.53	+1%	-8%
43651	Pressurised Heat Pump	0.67	+1%		+1.0
43652	Copper Heat Pump	0.67	+1%		+1.0
43653	Reinforced Dynamo	0.6	+1%	-9%
43654	Gold-Plated Dynamo	0.4	+1%	-6%
43655	Pressurised Wiring	0.53	+1%	-8%
43656	Enhanced Wiring	0.47	+1%	-7%
43657	Gold-Plated Shells	0.67	+1%		+1.0
43658	Gold-Plated Launch System	0.67	+1%	-10%
43659	Copper Trigger	0.53	+1%	-8%
43660	Pressurised Wiring	0.4	+1%	-6%
43661	Gold-Plated Trigger	0.67	+1%		+1.0
43662	Gold-Plated Heat Pump	0.67	+1%		+1.0
43663	Copper Heat Pump	0.6	+1%	-9%
43664	Reinforced Dynamo	0.67	+1%		+1.0
43665	Reinforced Launch System	0.73	+1%	-6%	+1.0
43666	Pressurised Compression Unit	0.4	+1%	-6%
43667	Copper Compression Unit	0.93	+1%	-9%	+1.0
43668	Gold-Plated Internals	0.6	+1%	-9%
43669	Pressurised Compression Unit	0.53	+1%	-8%
43670	Copper Barrel	0.4	+1%	-6%
43671	Enhanced Wiring	0.67	+1%		+1.0
43672	Copper Launch System	0.4	+1%	-6%
43673	Reinforced Launch System	0.67	+1%		+1.0
