sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ReloadTime,Weapon_Projectile_ClipSize
52484,Surge Accelerator,0.333,+1%,,,+12.0
52485,Atomic Accelerator,0.037,,+2%,-2%,
52486,Overloaded Excitor,0.333,+1%,,,+12.0
52487,Flow Resonator,0.417,,,-4%,+12.0
52488,Overloaded Capture Cell,0.333,,+10%,-2%,
52489,Atomic Projector,0.333,,,-2%,+12.0
52490,Flow Accelerator,0.407,,+3%,,+12.0
52491,Overloaded Solidifier,0.37,,+2%,,+12.0
52492,Waveform Accelerator,0.042,+1%,,-3%,
52493,Waveform Energiser,0.333,,,-2%,+12.0
52494,Waveform Solidifier,0.333,+1%,,,+12.0
52495,Flow Excitor,0.63,,+9%,-2%,+12.0
52496,Surge Projector,0.481,+1%,+5%,,+12.0
52497,Overloaded Resonator,0.037,+1%,+2%,,
52498,Surge Accelerator,0.5,+1%,,-6%,+12.0
52499,Atomic Excitor,0.375,+1%,,-3%,+12.0
52500,Atomic Amplifier,0.245,,+2%,-7%,
52501,Overloaded Energiser,0.333,+1%,,,+12.0
52502,Atomic Resonator,0.333,,,-2%,+12.0
52503,Surge Solidifier,0.375,,,-3%,+12.0
52504,Flow Accelerator,0.477,,+6%,-9%,
52505,Atomic Solidifier,0.37,+1%,+2%,,+12.0
52506,Waveform Projector,0.407,,+3%,,+12.0
52507,Flow Amplifier,0.0,+1%,,-2%,
52508,Surge Injector,0.333,+1%,,,+12.0
52509,Waveform Capture Cell,0.074,+1%,+3%,,
52510,Surge Resonator,0.583,+1%,,-8%,+12.0
52511,Surge Capture Cell,0.333,+1%,,,+12.0
52512,Overloaded Solidifier,0.37,,+2%,-2%,+12.0
52513,Overloaded Battery,0.481,,+5%,,+12.0
52514,Waveform Battery,0.037,+1%,+2%,,
52515,Atomic Capture Cell,0.37,,+2%,,+12.0
52516,Surge Accelerator,0.0,+1%,,-2%,
52517,Atomic Amplifier,0.296,+1%,+9%,,
52518,Overloaded Resonator,0.37,,+2%,,+12.0
52519,Waveform Projector,0.25,+1%,,-8%,
52520,Waveform Energiser,0.37,,+2%,,+12.0
52521,Flow Excitor,0.333,+1%,,,+12.0
52522,Atomic Excitor,0.37,,+2%,,+12.0
52523,Surge Solidifier,0.333,+1%,,,+12.0
52524,Flow Accelerator,0.37,,+2%,,+12.0
52525,Atomic Injector,0.333,,,-2%,+12.0
52526,Waveform Projector,0.37,,+2%,,+12.0
52527,Overloaded Capture Cell,0.519,+1%,+6%,,+12.0
52528,Atomic Accelerator,0.037,+1%,+2%,-2%,
52529,Flow Resonator,0.333,,,-2%,+12.0
52530,Atomic Resonator,0.111,+1%,+4%,,
52531,Overloaded Energiser,0.333,+1%,,,+12.0
52532,Flow Amplifier,0.375,,,-3%,+12.0
52533,Atomic Excitor,0.333,+1%,,,+12.0
52534,Atomic Battery,0.037,+1%,+2%,,
52535,Waveform Injector,0.403,+1%,+4%,-9%,
52536,Waveform Injector,0.375,,,-3%,+12.0
52537,Atomic Capture Cell,0.667,+2%,,,+12.0
52538,Flow Solidifier,0.583,,,-8%,+12.0
52539,Flow Injector,0.481,+1%,+5%,,+12.0
52540,Atomic Resonator,0.667,,+10%,,+12.0
52541,Flow Solidifier,0.037,,+2%,-2%,
52542,Surge Injector,0.333,+1%,,,+12.0
52543,Overloaded Solidifier,0.444,,+4%,,+12.0
52544,Overloaded Energiser,0.333,+1%,,-2%,+12.0
52545,Overloaded Battery,0.0,+1%,,-2%,
52546,Flow Capture Cell,0.338,,+9%,-3%,
52547,Surge Capture Cell,0.333,+1%,,,+12.0
52548,Flow Accelerator,0.37,,+2%,,+12.0
52549,Atomic Energiser,0.074,+1%,+3%,,
52550,Overloaded Energiser,0.074,,+3%,-2%,
52551,Waveform Capture Cell,0.0,+1%,,-2%,
52552,Flow Accelerator,0.519,,+6%,,+12.0
52553,Atomic Capture Cell,0.583,,,-8%,+12.0
52554,Atomic Capture Cell,0.037,+1%,+2%,,
52555,Overloaded Accelerator,0.375,,,-3%,+12.0
52556,Flow Excitor,0.333,+1%,,-2%,+12.0
52557,Surge Projector,0.37,,+2%,,+12.0
52558,Overloaded Resonator,0.333,+1%,,,+12.0
52559,Waveform Energiser,0.037,,+2%,-2%,
52560,Flow Capture Cell,0.37,,+2%,,+12.0
52561,Waveform Resonator,0.375,,,-3%,+12.0
52562,Flow Accelerator,0.37,+1%,+2%,,+12.0
52563,Atomic Energiser,0.185,+1%,+6%,,
52564,Flow Solidifier,0.333,,,-2%,+12.0
52565,Overloaded Excitor,0.0,+1%,,-2%,
52566,Overloaded Amplifier,0.37,+1%,+2%,,+12.0
52567,Overloaded Resonator,0.333,,,-2%,+12.0
52568,Flow Resonator,0.037,+1%,+2%,,
52569,Surge Battery,0.37,,+2%,,+12.0
52570,Surge Capture Cell,0.333,,,-2%,+12.0
52571,Flow Solidifier,0.037,+1%,+2%,,
52572,Overloaded Projector,0.667,+1%,+10%,,+12.0
52573,Flow Injector,0.199,,+3%,-5%,
52574,Waveform Injector,0.333,+1%,,,+12.0
52575,Waveform Resonator,0.074,+1%,+3%,-2%,
52576,Waveform Solidifier,0.037,,+2%,-2%,
52577,Overloaded Resonator,0.875,+2%,,-7%,+12.0
52578,Atomic Injector,0.407,,+3%,,+12.0
52579,Flow Excitor,0.333,+1%,,,+12.0
52580,Surge Accelerator,0.333,+1%,,,+12.0
52581,Overloaded Injector,0.593,,+8%,-2%,+12.0
52582,Waveform Injector,0.185,+1%,+6%,,
52583,Waveform Solidifier,0.333,+1%,,-2%,+12.0
52584,Surge Accelerator,0.259,+1%,+8%,,
52585,Surge Capture Cell,0.037,+1%,+2%,-2%,
52586,Flow Capture Cell,0.519,,+6%,,+12.0
52587,Flow Energiser,0.37,,+2%,-2%,+12.0
52588,Atomic Capture Cell,0.037,+1%,+2%,,
52589,Overloaded Accelerator,0.222,,+7%,-2%,
52590,Overloaded Accelerator,0.0,+1%,,-2%,
52591,Overloaded Resonator,0.481,,+5%,,+12.0
52592,Surge Capture Cell,0.042,+1%,,-3%,
52593,Surge Accelerator,0.333,,,-2%,+12.0
52594,Atomic Resonator,0.333,+1%,,-2%,+12.0
52595,Surge Resonator,0.259,,+8%,-2%,
52596,Atomic Capture Cell,0.111,+1%,+4%,,
52597,Surge Amplifier,0.333,,+1%,,+12.0
52598,Waveform Injector,0.333,+1%,,-2%,+12.0
52599,Surge Resonator,0.259,+1%,+8%,,
52600,Waveform Excitor,0.333,+1%,,,+12.0
52601,Surge Solidifier,0.37,,+2%,,+12.0
52602,Flow Amplifier,0.37,+1%,+2%,,+12.0
52603,Waveform Battery,0.0,+1%,,-2%,
52604,Overloaded Energiser,0.519,,+6%,,+12.0
52605,Waveform Accelerator,0.037,+1%,+2%,,
52606,Waveform Solidifier,0.407,,+3%,,+12.0
52607,Overloaded Amplifier,0.333,+1%,,-2%,+12.0
52608,Atomic Capture Cell,0.037,,+2%,-2%,
52609,Atomic Injector,0.593,+1%,+8%,,+12.0
52610,Waveform Energiser,0.407,,+3%,,+12.0
52611,Surge Energiser,0.259,+1%,+8%,,
52612,Flow Battery,0.333,,,-2%,+12.0
52613,Atomic Injector,0.407,,+3%,,+12.0
52614,Waveform Accelerator,0.037,+1%,+2%,-2%,
52615,Overloaded Projector,0.042,+1%,,-3%,
52616,Flow Battery,0.407,+1%,+3%,,+12.0
52617,Flow Battery,0.333,,,-2%,+12.0
52618,Overloaded Projector,0.37,+1%,+2%,,+12.0
52619,Surge Projector,0.417,,+10%,-4%,
52620,Surge Injector,0.333,,,-2%,+12.0
52621,Flow Battery,0.333,+1%,,-2%,+12.0
52622,Atomic Projector,0.0,+1%,,-2%,
52623,Atomic Battery,0.333,+1%,,,+12.0
52624,Atomic Amplifier,0.0,+1%,,-2%,
52625,Surge Injector,0.667,,,-10%,+12.0
52626,Atomic Capture Cell,0.37,,+2%,,+12.0
52627,Surge Resonator,0.333,+1%,,,+12.0
52628,Waveform Amplifier,0.333,+1%,,,+12.0
52629,Atomic Resonator,0.417,,,-4%,+12.0
52630,Surge Energiser,0.343,,+8%,-4%,
52631,Flow Resonator,0.37,,+2%,,+12.0
52632,Waveform Projector,0.333,,,-2%,+12.0
52633,Flow Amplifier,0.333,,,-2%,+12.0
52634,Flow Capture Cell,0.25,+1%,,-8%,
52635,Flow Resonator,0.074,,+3%,-2%,
52636,Overloaded Solidifier,0.37,,+2%,,+12.0
52637,Flow Projector,0.333,+1%,,,+12.0
52638,Waveform Projector,0.333,+1%,,,+12.0
52639,Flow Capture Cell,0.407,,+3%,,+12.0
52640,Surge Battery,0.037,+1%,+2%,,
52641,Overloaded Capture Cell,0.222,,+7%,-2%,
52642,Atomic Solidifier,0.042,+1%,,-3%,
52643,Atomic Resonator,0.0,+1%,,-2%,
52644,Atomic Energiser,0.333,+1%,,-2%,+12.0
52645,Flow Accelerator,0.37,,+2%,,+12.0
52646,Waveform Injector,0.037,+1%,+2%,,
52647,Overloaded Battery,0.333,+1%,,,+12.0
52648,Overloaded Injector,0.333,,,-2%,+12.0
52649,Waveform Capture Cell,0.037,+1%,+2%,,
52650,Flow Solidifier,0.227,,+6%,-3%,
52651,Surge Resonator,0.375,+1%,,-3%,+12.0
52652,Atomic Excitor,0.37,,+2%,,+12.0
52653,Surge Resonator,0.0,+1%,,-2%,
52654,Surge Capture Cell,0.667,+1%,+10%,,+12.0
52655,Atomic Solidifier,0.333,+1%,,,+12.0
52656,Flow Capture Cell,0.333,+1%,,,+12.0
52657,Waveform Battery,0.037,,+2%,-2%,
52658,Surge Resonator,0.741,+2%,+3%,,+12.0
52659,Flow Resonator,0.333,,,-2%,+12.0
52660,Flow Amplifier,0.037,+1%,+2%,,
52661,Waveform Injector,0.593,,+8%,,+12.0
52662,Atomic Capture Cell,0.037,+1%,+2%,,
52663,Flow Amplifier,0.583,,,-8%,+12.0
52664,Waveform Energiser,0.037,+1%,+2%,,
52665,Atomic Injector,0.037,,+2%,-2%,
52666,Overloaded Amplifier,0.0,+1%,,-2%,
52667,Waveform Amplifier,0.245,,+2%,-7%,
52668,Flow Projector,0.148,+1%,+5%,,
52669,Waveform Battery,0.037,,+2%,-2%,
52670,Atomic Capture Cell,0.333,+1%,,,+12.0
52671,Overloaded Battery,0.0,+1%,,-2%,
52672,Flow Injector,0.458,,,-5%,+12.0
52673,Overloaded Capture Cell,0.037,,+2%,-2%,
52674,Waveform Projector,0.37,,+2%,,+12.0
52675,Surge Battery,0.37,,+2%,,+12.0
52676,Flow Capture Cell,0.0,+1%,,-2%,
52677,Flow Injector,0.37,,+2%,,+12.0
52678,Waveform Accelerator,0.269,,+6%,-4%,
52679,Atomic Accelerator,0.37,,+2%,,+12.0
52680,Atomic Battery,0.333,+1%,,,+12.0
52681,Waveform Battery,0.0,+1%,,-2%,
52682,Waveform Capture Cell,0.556,,+7%,,+12.0
52683,Surge Amplifier,0.037,+1%,+2%,-2%,
52684,Overloaded Accelerator,0.037,,+2%,-2%,
52685,Flow Battery,0.37,,+2%,,+12.0
52686,Overloaded Excitor,0.333,+1%,,-2%,+12.0
52687,Atomic Solidifier,0.037,+1%,+2%,-2%,
52688,Atomic Resonator,0.037,,+2%,-2%,
52689,Flow Energiser,0.111,+1%,+4%,,
52690,Flow Injector,0.333,+2%,,-2%,
52691,Waveform Energiser,0.519,+1%,+6%,,+12.0
52692,Overloaded Battery,0.37,,+2%,-2%,+12.0
52693,Waveform Capture Cell,0.458,,,-5%,+12.0
52694,Flow Capture Cell,0.407,,+3%,,+12.0
52695,Surge Capture Cell,0.0,+1%,,-2%,
52696,Flow Accelerator,0.333,,,-2%,+12.0
52697,Waveform Projector,0.167,+1%,,-6%,
52698,Overloaded Amplifier,0.333,+1%,,,+12.0
52699,Overloaded Amplifier,0.111,+1%,+4%,,
52700,Waveform Solidifier,0.333,+1%,,,+12.0
52701,Atomic Amplifier,0.458,,,-5%,+12.0
52702,Waveform Resonator,0.37,,+2%,,+12.0
52703,Flow Injector,0.0,+1%,,-2%,
52704,Overloaded Projector,0.37,,+2%,,+12.0
52705,Atomic Energiser,0.333,+1%,,,+12.0
52706,Flow Accelerator,0.579,+2%,+2%,-7%,
52707,Overloaded Injector,0.037,+1%,+2%,,
52708,Atomic Solidifier,0.519,,+6%,,+12.0
52709,Atomic Injector,0.037,,+2%,-2%,
52710,Waveform Solidifier,0.407,,+3%,-2%,+12.0
52711,Flow Projector,0.333,,+10%,-2%,
52712,Atomic Capture Cell,0.333,,,-2%,+12.0
52713,Surge Accelerator,0.042,+1%,,-3%,
52714,Atomic Solidifier,0.148,+1%,+5%,,
52715,Overloaded Capture Cell,0.593,,+8%,,+12.0
52716,Waveform Capture Cell,0.37,+2%,+2%,,
52717,Waveform Capture Cell,0.407,,+3%,-2%,+12.0
52718,Surge Excitor,0.0,+1%,,-2%,
52719,Waveform Battery,0.162,,+2%,-5%,
52720,Atomic Accelerator,0.259,+1%,+8%,,
52721,Surge Capture Cell,0.296,+1%,+9%,,
52722,Atomic Projector,0.199,,+3%,-5%,
52723,Atomic Resonator,0.5,,,-6%,+12.0
52724,Waveform Energiser,0.292,+1%,,-9%,
52725,Surge Battery,0.194,+1%,+4%,-4%,
52726,Waveform Excitor,0.449,,+3%,-3%,+12.0
52727,Surge Excitor,0.333,+1%,,,+12.0
52728,Surge Accelerator,0.519,,+6%,,+12.0
52729,Atomic Resonator,0.333,+1%,,-2%,+12.0
52730,Atomic Energiser,0.037,+1%,+2%,,
52731,Surge Battery,0.37,,+2%,,+12.0
52732,Flow Excitor,0.333,+1%,,,+12.0
52733,Waveform Resonator,0.116,,+3%,-3%,
52734,Overloaded Capture Cell,0.0,+1%,,-2%,
52735,Surge Accelerator,0.0,+1%,,-2%,
52736,Overloaded Battery,0.37,+1%,+2%,,+12.0
52737,Surge Accelerator,0.0,+1%,,-2%,
52738,Atomic Projector,0.185,+1%,+6%,,
52739,Atomic Capture Cell,0.037,+1%,+2%,,
52740,Atomic Excitor,0.037,+1%,+2%,-2%,
52741,Waveform Solidifier,0.333,,,-2%,+12.0
52742,Flow Excitor,0.037,+1%,+2%,-2%,
52743,Surge Resonator,0.519,,+6%,,+12.0
52744,Flow Solidifier,0.0,+1%,,-2%,
52745,Flow Capture Cell,0.0,+1%,,-2%,
52746,Waveform Solidifier,0.5,,,-6%,+12.0
52747,Atomic Energiser,0.481,,+5%,,+12.0
52748,Waveform Injector,0.37,+1%,+2%,,+12.0
52749,Atomic Resonator,0.042,+1%,,-3%,
52750,Atomic Excitor,0.074,,+3%,-2%,
52751,Waveform Excitor,0.185,+1%,+6%,,
52752,Surge Injector,0.333,+1%,,,+12.0
52753,Atomic Capture Cell,0.37,,+2%,,+12.0
52754,Waveform Injector,0.245,,+2%,-7%,
52755,Waveform Injector,0.333,,,-2%,+12.0
52756,Flow Resonator,0.329,,+2%,-9%,
52757,Surge Amplifier,0.333,,,-2%,+12.0
52758,Flow Amplifier,0.519,,+6%,-2%,+12.0
52759,Flow Resonator,0.412,+2%,+2%,-3%,
52760,Surge Excitor,0.037,+1%,+2%,,
52761,Surge Capture Cell,0.148,+1%,+5%,,
52762,Waveform Projector,0.037,+1%,+2%,,
52763,Flow Accelerator,0.0,+1%,,-2%,
52764,Flow Energiser,0.0,+1%,,-2%,
52765,Surge Solidifier,0.333,+1%,,,+12.0
52766,Atomic Resonator,0.37,,+2%,,+12.0
52767,Flow Battery,0.407,,+3%,,+12.0
52768,Waveform Injector,0.0,+1%,,-2%,
52769,Flow Accelerator,0.333,,,-2%,+12.0
52770,Overloaded Excitor,0.0,+1%,,-2%,
52771,Waveform Injector,0.037,+1%,+2%,-2%,
52772,Overloaded Injector,0.0,+1%,,-2%,
52773,Overloaded Solidifier,0.333,,,-2%,+12.0
52774,Surge Battery,0.37,,+2%,-2%,+12.0
52775,Overloaded Excitor,0.333,,,-2%,+12.0
52776,Surge Accelerator,0.333,+1%,,,+12.0
52777,Overloaded Amplifier,0.037,+1%,+2%,-2%,
52778,Waveform Projector,0.037,+1%,+2%,,
52779,Surge Injector,0.333,+1%,,,+12.0
52780,Atomic Resonator,0.333,+1%,,,+12.0
52781,Waveform Projector,0.037,,+2%,-2%,
52782,Overloaded Projector,0.505,,+9%,-7%,
52783,Flow Injector,0.037,+1%,+2%,,
52784,Overloaded Excitor,0.037,+1%,+2%,,
52785,Surge Energiser,0.083,+1%,,-4%,
52786,Flow Resonator,0.037,+1%,+2%,-2%,
52787,Waveform Resonator,0.5,+1%,,-6%,+12.0
52788,Surge Capture Cell,0.0,+1%,,-2%,
52789,Waveform Battery,0.333,+1%,,,+12.0
52790,Atomic Energiser,0.037,,+2%,-2%,
52791,Surge Resonator,0.037,+1%,+2%,,
52792,Atomic Injector,0.148,,+5%,-2%,
52793,Surge Energiser,0.583,,,-8%,+12.0
52794,Surge Solidifier,0.0,+1%,,-2%,
52795,Flow Energiser,0.111,+1%,+4%,,
52796,Overloaded Capture Cell,0.333,,,-2%,+12.0
52797,Atomic Solidifier,0.0,+1%,,-2%,
52798,Surge Capture Cell,0.333,+1%,,,+12.0
52799,Atomic Energiser,0.148,,+5%,-2%,
52800,Atomic Excitor,0.333,+1%,,,+12.0
52801,Waveform Solidifier,0.62,,+2%,-8%,+12.0
52802,Flow Capture Cell,0.333,+1%,,-2%,+12.0
52803,Atomic Solidifier,0.287,,+2%,-8%,
52804,Waveform Solidifier,0.0,+1%,,-2%,
52805,Waveform Injector,0.074,+1%,+3%,,
52806,Overloaded Injector,0.37,,+2%,,+12.0
52807,Atomic Amplifier,0.333,+1%,,,+12.0
52808,Overloaded Accelerator,0.083,,+1%,-4%,
52809,Overloaded Solidifier,0.333,,,-2%,+12.0
52810,Overloaded Energiser,0.333,,,-2%,+12.0
52811,Flow Projector,0.083,+1%,,-4%,
52812,Atomic Excitor,0.259,+1%,+8%,,
52813,Atomic Battery,0.333,+1%,,-2%,+12.0
52814,Atomic Projector,0.199,,+3%,-5%,
52815,Overloaded Energiser,0.375,,,-3%,+12.0
52816,Surge Accelerator,0.204,,+2%,-6%,
52817,Flow Amplifier,0.458,+1%,,-5%,+12.0
52818,Surge Amplifier,0.037,+1%,+2%,,
52819,Atomic Injector,0.333,+1%,,,+12.0
52820,Surge Excitor,0.074,+1%,+3%,,
52821,Flow Battery,0.074,,+3%,-2%,
52822,Waveform Excitor,0.37,,+2%,-2%,+12.0
52823,Atomic Excitor,0.037,,+2%,-2%,
52824,Atomic Battery,0.454,,+2%,-4%,+12.0
52825,Atomic Accelerator,0.037,,+2%,-2%,
52826,Flow Projector,0.333,+1%,,-2%,+12.0
52827,Waveform Projector,0.333,+1%,,-2%,+12.0
52828,Flow Energiser,0.37,,+2%,,+12.0
52829,Flow Amplifier,0.333,+1%,,,+12.0
52830,Flow Energiser,0.037,,+2%,-2%,
52831,Waveform Solidifier,0.37,,+2%,,+12.0
52832,Atomic Resonator,0.333,+1%,,-10%,
52833,Atomic Battery,0.37,,+2%,,+12.0
52834,Waveform Battery,0.0,+1%,,-2%,
52835,Flow Energiser,0.333,+1%,,-2%,+12.0
52836,Waveform Accelerator,0.37,,+2%,,+12.0
52837,Flow Injector,0.0,+1%,,-2%,
52838,Waveform Excitor,0.245,+1%,+2%,-7%,
52839,Flow Battery,0.333,,,-2%,+12.0
52840,Overloaded Resonator,0.245,,+2%,-7%,
52841,Waveform Projector,0.523,,+5%,-3%,+12.0
52842,Flow Resonator,0.0,+1%,,-2%,
52843,Surge Battery,0.111,+1%,+4%,,
52844,Waveform Projector,0.037,,+2%,-2%,
52845,Waveform Energiser,0.037,+1%,+2%,,
52846,Waveform Accelerator,0.37,,+2%,,+12.0
52847,Waveform Energiser,0.037,,+2%,-2%,
52848,Atomic Battery,0.037,+1%,+2%,,
52849,Surge Energiser,0.037,+1%,+2%,,
52850,Atomic Capture Cell,0.583,+1%,,-8%,+12.0
52851,Atomic Injector,0.037,,+2%,-2%,
52852,Overloaded Projector,0.333,+1%,,,+12.0
52853,Surge Resonator,0.333,,,-2%,+12.0
52854,Surge Capture Cell,0.0,+1%,,-2%,
52855,Flow Injector,0.0,+1%,,-2%,
52856,Overloaded Excitor,0.333,,,-2%,+12.0
52857,Atomic Battery,0.037,+1%,+2%,,
52858,Flow Energiser,0.333,,,-2%,+12.0
52859,Flow Solidifier,0.333,+1%,,,+12.0
52860,Surge Injector,0.333,+1%,+10%,,
52861,Waveform Battery,0.333,+1%,,-2%,+12.0
52862,Atomic Projector,0.333,+1%,,,+12.0
52863,Surge Battery,0.407,,+3%,,+12.0
52864,Flow Amplifier,0.12,,+2%,-4%,
52865,Waveform Injector,0.037,,+2%,-2%,
52866,Flow Projector,0.37,+2%,+2%,,
52867,Overloaded Amplifier,0.407,,+3%,,+12.0
52868,Overloaded Projector,0.667,+2%,,,+12.0
52869,Overloaded Resonator,0.037,+1%,+2%,,
52870,Atomic Energiser,0.0,+1%,,-2%,
52871,Atomic Battery,0.037,+1%,+2%,,
52872,Atomic Injector,0.37,+1%,+2%,,+12.0
52873,Waveform Capture Cell,0.0,+1%,,-2%,
52874,Waveform Injector,0.556,,+7%,-2%,+12.0
52875,Atomic Resonator,0.5,,,-6%,+12.0
52876,Atomic Accelerator,0.412,,+2%,-3%,+12.0
52877,Overloaded Projector,0.333,,,-2%,+12.0
52878,Surge Accelerator,0.333,+1%,,,+12.0
52879,Surge Excitor,0.259,+1%,+8%,,
52880,Atomic Accelerator,0.162,+1%,+2%,-5%,
52881,Surge Solidifier,0.037,,+2%,-2%,
52882,Overloaded Resonator,0.042,+1%,,-3%,
52883,Overloaded Battery,0.037,+1%,+2%,,
52884,Atomic Accelerator,0.037,+1%,+2%,,
52885,Overloaded Resonator,0.333,,,-2%,+12.0
52886,Waveform Energiser,0.63,,+9%,,+12.0
52887,Surge Injector,0.0,+1%,,-2%,
52888,Flow Projector,0.37,,+2%,,+12.0
52889,Surge Resonator,0.37,,+2%,-2%,+12.0
52890,Waveform Amplifier,0.37,,+2%,,+12.0
52891,Atomic Accelerator,0.449,+2%,+3%,-3%,
52892,Atomic Accelerator,0.19,,+5%,-3%,
52893,Flow Energiser,0.333,+1%,,,+12.0
52894,Surge Amplifier,0.074,,+3%,-2%,
52895,Flow Injector,0.037,,+2%,-2%,
52896,Surge Projector,0.0,+1%,,-2%,
52897,Waveform Resonator,0.037,+1%,+2%,-2%,
52898,Atomic Projector,0.0,+1%,,-2%,
52899,Waveform Projector,0.556,,+7%,,+12.0
52900,Atomic Excitor,0.333,+1%,+10%,,
52901,Atomic Resonator,0.333,+1%,,,+12.0
52902,Flow Excitor,0.037,+1%,+2%,,
52903,Overloaded Energiser,0.333,+1%,,,+12.0
52904,Waveform Projector,0.37,+1%,+2%,,+12.0
52905,Flow Resonator,0.111,,+4%,-2%,
52906,Overloaded Solidifier,0.0,+1%,,-2%,
52907,Surge Capture Cell,0.037,,+2%,-2%,
52908,Flow Accelerator,0.074,+1%,+3%,,
52909,Surge Resonator,0.074,+1%,+3%,,
52910,Overloaded Excitor,0.074,+1%,+3%,,
52911,Surge Excitor,0.111,+1%,+4%,,
52912,Flow Injector,0.333,+1%,,,+12.0
52913,Atomic Capture Cell,0.037,+1%,+2%,,
52914,Surge Projector,0.333,+1%,,,+12.0
52915,Flow Amplifier,0.333,+1%,,-2%,+12.0
52916,Surge Accelerator,0.37,+1%,+2%,,+12.0
52917,Overloaded Projector,0.333,+1%,+1%,,+12.0
52918,Flow Energiser,0.037,,+2%,-2%,
52919,Overloaded Amplifier,0.0,+1%,,-2%,
52920,Flow Projector,0.0,+1%,+1%,,
52921,Overloaded Injector,0.333,,,-2%,+12.0
52922,Waveform Resonator,0.042,+1%,,-3%,
52923,Atomic Accelerator,0.079,,+2%,-3%,
52924,Atomic Energiser,0.333,+1%,,,+12.0
52925,Surge Excitor,0.037,+1%,+2%,,
52926,Waveform Capture Cell,0.37,,+2%,,+12.0
52927,Flow Amplifier,0.407,,+3%,,+12.0
52928,Atomic Projector,0.37,,+2%,,+12.0
52929,Flow Energiser,0.444,,+4%,,+12.0
52930,Atomic Energiser,0.667,,,-10%,+12.0
52931,Flow Injector,0.0,+1%,,-2%,
52932,Waveform Injector,0.333,+1%,,,+12.0
52933,Surge Amplifier,0.407,,+3%,-2%,+12.0
52934,Surge Capture Cell,0.333,,,-2%,+12.0
52935,Atomic Solidifier,0.245,+1%,+2%,-7%,
52936,Surge Injector,0.333,+1%,,,+12.0
52937,Overloaded Resonator,0.037,+1%,+2%,,
52938,Waveform Amplifier,0.333,+1%,,,+12.0
52939,Overloaded Injector,0.417,+2%,,-4%,
52940,Flow Amplifier,0.222,,+7%,-2%,
52941,Waveform Accelerator,0.37,+1%,+2%,,+12.0
52942,Overloaded Accelerator,0.37,+1%,+2%,,+12.0
52943,Waveform Projector,0.333,+1%,+1%,,+12.0
52944,Flow Solidifier,0.111,+1%,+4%,-2%,
52945,Flow Battery,0.037,,+2%,-2%,
52946,Flow Battery,0.556,,+7%,,+12.0
52947,Atomic Energiser,0.37,,+2%,-2%,+12.0
52948,Atomic Energiser,0.37,,+2%,,+12.0
52949,Surge Accelerator,0.37,,+2%,-2%,+12.0
52950,Surge Resonator,0.037,+1%,+2%,-2%,
52951,Overloaded Injector,0.333,,,-2%,+12.0
52952,Surge Resonator,0.333,,,-2%,+12.0
52953,Flow Battery,0.375,+1%,,-3%,+12.0
52954,Waveform Capture Cell,0.333,+1%,,,+12.0
52955,Flow Resonator,0.037,+1%,+2%,,
52956,Overloaded Injector,0.333,,,-2%,+12.0
52957,Flow Energiser,0.333,+1%,,,+12.0
52958,Flow Resonator,0.37,,+2%,,+12.0
52959,Atomic Projector,0.333,+1%,,-2%,+12.0
52960,Waveform Amplifier,0.667,+2%,,,+12.0
52961,Waveform Energiser,0.037,+1%,+2%,-2%,
52962,Waveform Excitor,0.333,+1%,,,+12.0
52963,Waveform Amplifier,0.269,,+6%,-4%,
52964,Atomic Amplifier,0.037,+1%,+2%,,
52965,Surge Excitor,0.407,,+3%,,+12.0
52966,Atomic Projector,0.333,,,-2%,+12.0
52967,Waveform Energiser,0.458,,,-5%,+12.0
52968,Atomic Accelerator,0.444,,+4%,,+12.0
52969,Overloaded Projector,0.37,,+2%,,+12.0
52970,Waveform Resonator,0.375,,,-3%,+12.0
52971,Overloaded Resonator,0.037,,+2%,-2%,
52972,Flow Amplifier,0.185,,+6%,-2%,
52973,Flow Energiser,0.481,,+5%,,+12.0
52974,Overloaded Battery,0.037,,+2%,-2%,
52975,Surge Battery,0.185,,+6%,-2%,
52976,Atomic Capture Cell,0.0,+1%,,-2%,
52977,Flow Solidifier,0.037,+1%,+2%,-2%,
52978,Waveform Energiser,0.037,+1%,+2%,,
52979,Flow Excitor,0.407,,+3%,-2%,+12.0
52980,Flow Excitor,0.37,,+2%,,+12.0
52981,Atomic Amplifier,0.037,+1%,+2%,-2%,
52982,Waveform Resonator,0.37,,+2%,,+12.0
52983,Flow Projector,0.519,+1%,+6%,,+12.0
52984,Surge Accelerator,0.074,+1%,+3%,,
52985,Waveform Excitor,0.037,+1%,+2%,,
52986,Waveform Battery,0.593,,+8%,-2%,+12.0
52987,Atomic Projector,0.333,+1%,,,+12.0
52988,Flow Battery,0.037,,+2%,-2%,
52989,Waveform Excitor,0.333,+1%,,-2%,+12.0
52990,Flow Capture Cell,0.458,,,-5%,+12.0
52991,Waveform Solidifier,0.519,,+6%,-2%,+12.0
52992,Overloaded Capture Cell,0.333,+1%,,-2%,+12.0
52993,Waveform Solidifier,0.338,,+9%,-3%,
52994,Flow Excitor,0.037,+1%,+2%,,
52995,Waveform Injector,0.037,+1%,+2%,,
52996,Overloaded Capture Cell,0.116,,+3%,-3%,
