Seed	Name	Perfection	Weapon_Scan_Radius	Weapon_Scan_Discovery_Creature	Weapon_Scan_Discovery_Flora
64269	Overclocked Processor	0.4	+9%		
64270	Analog Siphon	0.1	+6%		
64271	Low-Heat Siphon	0.027		+1,053%	
64272	Low-Heat Probe	0.001		+1,001%	
64273	Low-Heat Prediction Unit	0.238	+6%	+1,275%	
64274	Precision Siphon	0.227			+1,453%
64275	Low-Heat Siphon	0.004			+1,007%
64276	Waveform Processor	0.101		+1,202%	
64277	Overclocked Sweep Ray	0.3	+8%		
64278	Low-Heat Sweep Ray	0.231	+6%		+1,261%
64279	Analog Prediction Unit	0.022			+1,044%
64280	Analog Processor	0.016			+1,032%
64281	Low-Heat Probe	0.1	+6%		
64282	Analog Sweep Ray	0.3	+8%		
64283	Analog Siphon	0.977	+10%		+1,953%
64284	Low-Heat Computer	0.432			+1,863%
64285	Precision Detector	0.449			+1,898%
64286	Overclocked Prediction Unit	0.006			+1,012%
64287	Analog Visualiser	0.043		+1,085%	
64288	Analog Processor	0.12		+1,239%	
64289	Overclocked Probe	0.295		+1,589%	
64290	Analog Computer	0.342		+1,683%	
64291	Low-Heat Visualiser	0.1	+6%		
64292	Low-Heat Detector	0.4	+9%		
64293	Low-Heat Siphon	0.442			+1,883%
64294	Overclocked Prediction Unit	0.3	+8%		
64295	Analog Prediction Unit	0.149			+1,297%
64296	Overclocked Visualiser	0.056		+1,111%	
64297	Precision Sweep Ray	0.06			+1,120%
64298	Overclocked Siphon	0.41			+1,820%
64299	Overclocked Visualiser	0.033			+1,066%
64300	Precision Prediction Unit	0.21			+1,420%
64301	Precision Analysis Unit	0.2			+1,400%
64302	Overclocked Scope	0.1	+6%		
64303	Analog Probe	0.1	+6%		
64304	Overclocked Computer	0.058		+1,116%	
64305	Waveform Siphon	0.349		+1,697%	
64306	Low-Heat Processor	0.088			+1,175%
64307	Low-Heat Detector	0.303			+1,606%
64308	Waveform Computer	0.279			+1,558%
64309	Overclocked Prediction Unit	0.1	+6%		
64310	Low-Heat Siphon	0.3	+8%		
64311	Low-Heat Detector	0.156			+1,311%
64312	Low-Heat Probe	0.385			+1,770%
64313	Waveform Prediction Unit	0.689	+8%	+1,778%	
64314	Waveform Analysis Unit	0.454			+1,907%
64315	Waveform Detector	0.016		+1,032%	
64316	Precision Computer	0.248		+1,495%	
64317	Waveform Computer	0.111	+6%	+1,021%	
64318	Analog Probe	0.3	+8%		
64319	Waveform Detector	0.1	+6%		
64320	Low-Heat Siphon	0.361		+1,721%	
64321	Precision Scope	0.196		+1,273%	+1,118%
64322	Waveform Detector	0.442		+1,884%	
64323	Overclocked Processor	0.245			+1,490%
64324	Overclocked Analysis Unit	0.057		+1,113%	
64325	Low-Heat Visualiser	0.1	+6%		
64326	Low-Heat Probe	0.4	+9%		
64327	Analog Prediction Unit	0.009			+1,018%
64328	Precision Sweep Ray	0.39			+1,780%
64329	Low-Heat Sweep Ray	0.191	+6%		+1,182%
64330	Low-Heat Sweep Ray	0.085			+1,170%
64331	Precision Scope	0.001			+1,001%
64332	Precision Prediction Unit	0.4	+9%		
64333	Analog Visualiser	0.2	+7%		
64334	Precision Siphon	0.325			+1,649%
64335	Low-Heat Sweep Ray	0.346			+1,691%
64336	Analog Processor	0.1	+6%		
64337	Low-Heat Analysis Unit	0.011			+1,022%
64338	Analog Analysis Unit	0.493			+1,985%
64339	Precision Siphon	0.1	+6%		
64340	Analog Computer	0.1	+6%		
64341	Overclocked Processor	0.404	+7%		+1,408%
64342	Waveform Analysis Unit	0.1	+6%		
64343	Precision Analysis Unit	0.001			+1,001%
64344	Overclocked Computer	0.091		+1,111%	+1,071%
64345	Precision Visualiser	0.036			+1,071%
64346	Analog Siphon	0.341		+1,682%	
64347	Waveform Analysis Unit	0.005			+1,010%
64348	Precision Siphon	0.233	+7%	+1,066%	
64349	Waveform Analysis Unit	0.071		+1,141%	
64350	Analog Analysis Unit	0.058		+1,116%	
64351	Waveform Probe	0.4	+9%		
64352	Low-Heat Processor	0.1	+6%		
64353	Waveform Visualiser	0.1	+6%		
64354	Overclocked Visualiser	0.197		+1,394%	
64355	Analog Sweep Ray	0.41			+1,820%
64356	Low-Heat Sweep Ray	0.075			+1,150%
64357	Precision Visualiser	0.21		+1,419%	
64358	Analog Detector	0.023		+1,045%	
64359	Low-Heat Detector	0.334			+1,667%
64360	Precision Siphon	0.061		+1,121%	
64361	Waveform Scope	0.1	+6%		
64362	Low-Heat Siphon	0.207			+1,413%
64363	Waveform Visualiser	0.1	+6%		
64364	Low-Heat Detector	0.201		+1,402%	
64365	Low-Heat Processor	0.155		+1,309%	
64366	Analog Visualiser	0.4	+9%		
64367	Waveform Computer	0.043			+1,085%
64368	Precision Computer	0.005			+1,009%
64369	Overclocked Computer	0.1	+6%		
64370	Overclocked Processor	0.482		+1,964%	
64371	Overclocked Analysis Unit	0.041		+1,081%	
64372	Waveform Analysis Unit	0.003		+1,005%	
64373	Overclocked Analysis Unit	0.239		+1,478%	
64374	Analog Probe	0.211		+1,071%	+1,351%
64375	Overclocked Probe	0.0		+1,000%	
64376	Overclocked Processor	0.436			+1,871%
64377	Precision Sweep Ray	0.441		+1,882%	
64378	Analog Sweep Ray	0.042		+1,083%	
64379	Waveform Computer	0.305		+1,609%	
64380	Low-Heat Sweep Ray	0.427		+1,853%	
64381	Low-Heat Analysis Unit	0.2	+7%		
64382	Precision Probe	0.632	+7%	+1,864%	
64383	Overclocked Sweep Ray	0.211		+1,421%	
64384	Precision Analysis Unit	0.03		+1,060%	
64385	Waveform Siphon	0.26			+1,520%
64386	Precision Analysis Unit	0.635	+8%	+1,670%	
64387	Analog Probe	0.354			+1,708%
64388	Overclocked Detector	0.061			+1,122%
64389	Waveform Sweep Ray	0.401			+1,801%
64390	Low-Heat Prediction Unit	0.26			+1,520%
64391	Overclocked Siphon	0.324		+1,647%	
64392	Overclocked Probe	0.5	+10%		
64393	Low-Heat Analysis Unit	0.5	+10%		
64394	Analog Prediction Unit	0.493		+1,985%	
64395	Low-Heat Computer	0.038		+1,075%	
64396	Overclocked Processor	0.1	+6%		
64397	Overclocked Prediction Unit	0.004	+5%		+1,007%
64398	Waveform Detector	0.136		+1,271%	
64399	Low-Heat Prediction Unit	0.045			+1,090%
64400	Analog Visualiser	0.013		+1,026%	
64401	Precision Prediction Unit	0.2	+7%		
64402	Overclocked Processor	0.031			+1,061%
64403	Waveform Siphon	0.379			+1,758%
64404	Overclocked Processor	0.03			+1,060%
64405	Overclocked Probe	0.1	+6%		
64406	Precision Sweep Ray	0.1	+6%		
64407	Low-Heat Siphon	0.276			+1,552%
64408	Overclocked Computer	0.137		+1,274%	
64409	Waveform Analysis Unit	0.132		+1,263%	
64410	Waveform Prediction Unit	0.001		+1,001%	
64411	Analog Computer	0.014		+1,027%	
64412	Waveform Siphon	0.4	+9%		
64413	Analog Analysis Unit	0.0		+1,000%	
64414	Waveform Processor	0.4	+9%		
64415	Low-Heat Sweep Ray	0.493		+1,986%	
64416	Precision Detector	0.328		+1,655%	
64417	Low-Heat Computer	0.1	+6%		
64418	Waveform Computer	0.107	+6%		+1,013%
64419	Analog Scope	0.126		+1,252%	
64420	Low-Heat Scope	0.26			+1,519%
64421	Waveform Visualiser	0.391	+6%	+1,581%	
64422	Analog Sweep Ray	0.011			+1,022%
64423	Overclocked Detector	0.893	+10%		+1,786%
64424	Analog Probe	0.102	+6%		+1,004%
64425	Waveform Computer	0.1	+6%		
64426	Waveform Probe	0.424			+1,848%
64427	Low-Heat Scope	0.269		+1,537%	
64428	Overclocked Scope	0.1	+6%		
64429	Precision Sweep Ray	0.213			+1,426%
64430	Precision Siphon	0.376			+1,751%
64431	Waveform Computer	0.1	+6%		
64432	Waveform Probe	0.4	+9%		
64433	Precision Siphon	0.1	+6%		
64434	Overclocked Prediction Unit	0.652	+9%	+1,503%	
64435	Waveform Processor	0.054		+1,108%	
64436	Waveform Sweep Ray	0.065		+1,130%	
64437	Low-Heat Probe	0.021		+1,042%	
64438	Analog Prediction Unit	0.4	+9%		
64439	Analog Prediction Unit	0.528	+8%	+1,456%	
64440	Overclocked Prediction Unit	0.1	+6%		
64441	Precision Prediction Unit	0.459			+1,917%
64442	Waveform Visualiser	0.34			+1,680%
64443	Waveform Sweep Ray	0.217			+1,433%
64444	Waveform Scope	0.009		+1,017%	
64445	Waveform Sweep Ray	0.067			+1,133%
64446	Low-Heat Probe	0.236		+1,472%	
64447	Low-Heat Analysis Unit	0.164			+1,328%
64448	Precision Visualiser	0.241			+1,482%
64449	Low-Heat Scope	0.2	+7%		
64450	Low-Heat Scope	0.1	+6%		
64451	Precision Scope	0.019			+1,038%
64452	Precision Prediction Unit	0.3	+8%		
64453	Precision Processor	0.3	+8%		
64454	Low-Heat Probe	0.002		+1,003%	
64455	Low-Heat Analysis Unit	0.5	+10%		
64456	Waveform Analysis Unit	0.397			+1,794%
64457	Precision Sweep Ray	0.4	+9%		
64458	Waveform Computer	0.479			+1,957%
64459	Low-Heat Processor	0.4	+9%		
64460	Precision Processor	0.2	+7%		
64461	Low-Heat Sweep Ray	0.462		+1,256%	+1,667%
64462	Overclocked Probe	0.053			+1,105%
64463	Overclocked Prediction Unit	0.424		+1,847%	
64464	Precision Scope	0.1	+6%		
64465	Low-Heat Probe	0.1	+6%		
64466	Low-Heat Detector	0.069		+1,137%	
64467	Precision Processor	0.216		+1,136%	+1,295%
64468	Overclocked Scope	0.215		+1,430%	
64469	Low-Heat Probe	0.282			+1,563%
64470	Low-Heat Prediction Unit	0.001			+1,001%
64471	Precision Visualiser	0.69	+9%		+1,580%
64472	Waveform Siphon	0.1	+6%		
64473	Analog Analysis Unit	0.227			+1,454%
64474	Precision Analysis Unit	0.002		+1,003%	
64475	Waveform Processor	0.5	+10%		
64476	Overclocked Sweep Ray	0.2	+7%		
64477	Low-Heat Sweep Ray	0.074			+1,147%
64478	Waveform Analysis Unit	0.102			+1,204%
64479	Overclocked Detector	0.494		+1,987%	
64480	Overclocked Processor	0.1	+6%		
64481	Analog Scope	0.1	+6%		
64482	Precision Scope	0.284		+1,566%	+1,002%
64483	Analog Processor	0.008			+1,015%
64484	Low-Heat Analysis Unit	0.389			+1,778%
64485	Analog Processor	0.241		+1,482%	
64486	Analog Computer	0.1	+6%		
64487	Analog Visualiser	0.104	+6%	+1,007%	
64488	Precision Analysis Unit	0.4	+9%		
64489	Overclocked Analysis Unit	0.1	+6%		
64490	Low-Heat Computer	0.88		+1,802%	+1,956%
64491	Low-Heat Prediction Unit	0.494			+1,987%
64492	Low-Heat Processor	0.1	+6%		
64493	Overclocked Prediction Unit	0.598		+1,614%	+1,580%
64494	Precision Detector	0.241	+7%		+1,081%
64495	Precision Scope	0.098			+1,195%
64496	Waveform Probe	0.409		+1,818%	
64497	Precision Visualiser	0.3	+8%		
64498	Overclocked Analysis Unit	0.462		+1,924%	
64499	Precision Analysis Unit	0.419		+1,838%	
64500	Precision Siphon	0.147		+1,293%	
64501	Analog Visualiser	0.369			+1,737%
64502	Analog Siphon	0.503	+10%	+1,005%	
64503	Overclocked Siphon	0.003		+1,006%	
64504	Overclocked Probe	0.2	+7%		
64505	Analog Sweep Ray	0.026			+1,051%
64506	Precision Siphon	0.146			+1,291%
64507	Overclocked Probe	0.227	+7%		+1,053%
64508	Waveform Processor	0.163		+1,326%	
64509	Waveform Probe	0.289		+1,578%	
64510	Waveform Scope	0.237			+1,474%
64511	Low-Heat Computer	0.262		+1,523%	
64512	Analog Detector	0.3	+8%		
64513	Analog Visualiser	0.1	+6%		
64514	Analog Visualiser	0.175		+1,349%	
64515	Low-Heat Probe	0.356		+1,712%	
64516	Precision Processor	0.3	+8%		
64517	Precision Prediction Unit	0.13			+1,260%
64518	Analog Visualiser	0.485	+6%		+1,770%
64519	Analog Sweep Ray	0.053		+1,105%	
64520	Analog Scope	0.1	+6%		
64521	Analog Analysis Unit	0.319			+1,637%
64522	Low-Heat Prediction Unit	0.218			+1,436%
64523	Low-Heat Analysis Unit	0.419			+1,838%
64524	Analog Computer	0.205		+1,410%	
64525	Precision Prediction Unit	0.013			+1,026%
64526	Waveform Computer	0.1	+6%		
64527	Low-Heat Analysis Unit	0.1	+6%		
64528	Analog Computer	0.137			+1,273%
64529	Low-Heat Probe	0.4		+1,799%	
64530	Low-Heat Scope	0.0		+1,000%	
64531	Low-Heat Visualiser	0.301		+1,601%	
64532	Waveform Processor	0.2	+7%		
64533	Overclocked Sweep Ray	0.247			+1,493%
64534	Waveform Visualiser	0.031			+1,062%
64535	Precision Probe	0.074			+1,147%
64536	Overclocked Scope	0.478			+1,955%
64537	Waveform Processor	0.43		+1,074%	+1,786%
64538	Analog Sweep Ray	0.031			+1,061%
64539	Waveform Processor	0.172		+1,343%	
64540	Overclocked Processor	0.41	+6%		+1,620%
64541	Waveform Probe	0.03			+1,060%
64542	Analog Visualiser	0.557		+1,748%	+1,364%
64543	Waveform Prediction Unit	0.1	+6%		
64544	Analog Processor	0.1	+6%		
64545	Waveform Probe	0.1	+6%		
64546	Overclocked Computer	0.1	+6%		
64547	Analog Sweep Ray	0.119			+1,238%
64548	Analog Prediction Unit	0.029		+1,008%	+1,050%
64549	Waveform Detector	0.0		+1,000%	
64550	Overclocked Probe	0.292		+1,583%	
64551	Analog Probe	0.012			+1,024%
64552	Waveform Scope	0.4	+9%		
64553	Precision Sweep Ray	0.219			+1,437%
64554	Waveform Processor	0.07		+1,140%	
64555	Low-Heat Probe	0.339		+1,677%	
64556	Overclocked Siphon	0.488		+1,975%	
64557	Waveform Probe	0.5	+10%		
64558	Precision Computer	0.027		+1,053%	
64559	Precision Analysis Unit	0.025		+1,049%	
64560	Low-Heat Computer	0.5	+10%		
64561	Waveform Siphon	0.097		+1,194%	
64562	Analog Sweep Ray	0.1	+6%		
64563	Analog Probe	0.409			+1,817%
64564	Analog Probe	0.3	+8%		
64565	Overclocked Analysis Unit	0.5	+10%		
64566	Precision Siphon	0.055		+1,110%	
64567	Overclocked Processor	0.079			+1,158%
64568	Analog Detector	0.218		+1,435%	
64569	Analog Visualiser	0.028			+1,055%
64570	Precision Computer	0.475		+1,950%	
64571	Overclocked Analysis Unit	0.043			+1,086%
64572	Low-Heat Computer	0.1	+6%		
64573	Analog Probe	0.166			+1,331%
64574	Analog Analysis Unit	0.375		+1,749%	
64575	Waveform Processor	0.434		+1,868%	
64576	Low-Heat Processor	0.321		+1,641%	
64577	Analog Detector	0.1	+6%		
64578	Low-Heat Scope	0.256		+1,045%	+1,466%
64579	Analog Visualiser	0.099			+1,198%
64580	Overclocked Processor	0.1	+6%		
64581	Low-Heat Prediction Unit	0.5	+10%		
64582	Overclocked Scope	0.2	+7%		
64583	Precision Processor	0.699	+7%		+1,998%
64584	Analog Prediction Unit	0.314		+1,628%	
64585	Low-Heat Computer	0.354		+1,707%	
64586	Precision Prediction Unit	0.073			+1,145%
64587	Low-Heat Computer	0.425		+1,849%	
64588	Precision Siphon	0.448			+1,895%
64589	Analog Scope	0.4	+9%		
64590	Precision Probe	0.066		+1,132%	
64591	Waveform Probe	0.079		+1,157%	
64592	Precision Computer	0.3	+8%		
64593	Low-Heat Computer	0.431		+1,861%	
64594	Low-Heat Computer	0.268	+6%	+1,336%	
64595	Overclocked Visualiser	0.067		+1,134%	
64596	Waveform Siphon	0.016			+1,032%
64597	Precision Visualiser	0.3	+8%		
64598	Analog Siphon	0.2	+7%		
64599	Precision Processor	0.287			+1,573%
64600	Low-Heat Computer	0.025		+1,049%	
64601	Precision Probe	0.5	+10%		
64602	Precision Analysis Unit	0.581	+7%	+1,761%	
64603	Waveform Analysis Unit	0.47		+1,940%	
64604	Overclocked Scope	0.1	+6%		
64605	Overclocked Visualiser	0.22			+1,439%
64606	Analog Computer	0.211			+1,421%
64607	Overclocked Analysis Unit	0.613	+7%	+1,825%	
64608	Overclocked Scope	0.28		+1,560%	
64609	Overclocked Scope	0.021			+1,041%
64610	Waveform Prediction Unit	0.364		+1,727%	
64611	Low-Heat Processor	0.1	+6%		
64612	Low-Heat Prediction Unit	0.1	+6%		
64613	Analog Siphon	0.258			+1,516%
64614	Low-Heat Computer	0.4	+9%		
64615	Precision Siphon	0.1	+6%		
64616	Precision Siphon	0.281		+1,405%	+1,157%
64617	Low-Heat Analysis Unit	0.001			+1,001%
64618	Low-Heat Processor	0.012		+1,024%	
64619	Overclocked Siphon	0.209	+7%		+1,018%
64620	Overclocked Computer	0.214		+1,427%	
64621	Analog Detector	0.151		+1,301%	
64622	Waveform Visualiser	0.13	+6%		+1,060%
64623	Overclocked Detector	0.052		+1,103%	
64624	Low-Heat Probe	0.062		+1,124%	
64625	Low-Heat Probe	0.1	+6%		
64626	Waveform Siphon	0.176		+1,351%	
64627	Low-Heat Sweep Ray	0.1	+6%		
64628	Overclocked Sweep Ray	0.119		+1,238%	
64629	Analog Computer	0.262			+1,523%
64630	Overclocked Sweep Ray	0.492			+1,984%
64631	Precision Scope	0.1	+6%		
64632	Precision Visualiser	0.32	+6%	+1,440%	
64633	Waveform Probe	0.1	+6%		
64634	Waveform Computer	0.1	+6%		
64635	Overclocked Processor	0.3	+8%		
64636	Overclocked Sweep Ray	0.4	+9%		
64637	Waveform Sweep Ray	0.3	+8%		
64638	Precision Processor	0.442		+1,883%	
64639	Waveform Siphon	0.277		+1,553%	
64640	Precision Processor	0.122			+1,244%
64641	Analog Analysis Unit	0.074		+1,147%	
64642	Overclocked Probe	0.3	+8%		
64643	Precision Sweep Ray	0.453		+1,906%	
64644	Waveform Detector	0.041		+1,081%	
64645	Analog Detector	0.2	+7%		
64646	Overclocked Computer	0.4	+9%		
64647	Waveform Sweep Ray	0.325		+1,649%	
64648	Precision Analysis Unit	0.1	+6%		
64649	Overclocked Computer	0.188			+1,375%
64650	Precision Processor	0.446			+1,892%
64651	Precision Processor	0.084		+1,167%	
64652	Low-Heat Visualiser	0.1	+6%		
64653	Overclocked Probe	0.115		+1,230%	
64654	Waveform Detector	0.4	+9%		
64655	Low-Heat Probe	0.371			+1,741%
64656	Waveform Processor	0.1	+6%		
64657	Waveform Prediction Unit	0.063		+1,125%	
64658	Waveform Detector	0.4	+9%		
64659	Low-Heat Processor	0.4		+1,800%	
64660	Precision Probe	0.135		+1,270%	
64661	Low-Heat Scope	0.1	+6%		
64662	Waveform Prediction Unit	0.162		+1,324%	
64663	Overclocked Visualiser	0.11		+1,219%	
64664	Waveform Probe	0.013		+1,026%	
64665	Waveform Prediction Unit	0.1	+6%		
64666	Precision Computer	0.1	+6%		
64667	Overclocked Detector	0.1	+6%		
64668	Analog Sweep Ray	0.049		+1,098%	
64669	Precision Siphon	0.391		+1,123%	+1,659%
64670	Low-Heat Probe	0.063		+1,126%	
64671	Low-Heat Processor	0.016		+1,032%	
64672	Low-Heat Analysis Unit	0.092			+1,183%
64673	Waveform Detector	0.392			+1,783%
64674	Waveform Probe	0.385			+1,769%
64675	Precision Computer	0.4	+9%		
64676	Analog Detector	0.174		+1,347%	
64677	Analog Probe	0.308			+1,615%
64678	Waveform Siphon	0.103		+1,205%	
64679	Overclocked Computer	0.416			+1,832%
64680	Low-Heat Prediction Unit	0.273		+1,530%	+1,015%
64681	Precision Detector	0.1	+6%		
64682	Waveform Processor	0.463		+1,925%	
64683	Waveform Sweep Ray	0.141			+1,281%
64684	Analog Prediction Unit	0.146		+1,291%	
64685	Precision Sweep Ray	0.05		+1,100%	
64686	Low-Heat Siphon	0.5	+10%		
64687	Low-Heat Visualiser	0.167			+1,334%
64688	Precision Siphon	0.302	+8%	+1,004%	
64689	Waveform Prediction Unit	0.029			+1,058%
64690	Low-Heat Siphon	0.339		+1,678%	
64691	Analog Siphon	0.119			+1,238%
64692	Precision Siphon	0.26		+1,519%	
64693	Overclocked Prediction Unit	0.5	+10%		
64694	Precision Prediction Unit	0.018			+1,035%
64695	Waveform Probe	0.189			+1,377%
64696	Overclocked Analysis Unit	0.4	+9%		
64697	Overclocked Sweep Ray	0.1	+6%		
64698	Precision Sweep Ray	0.4	+9%		
64699	Analog Siphon	0.341	+8%	+1,082%	
64700	Analog Probe	0.375	+6%	+1,549%	
64701	Waveform Analysis Unit	0.412	+6%	+1,623%	
64702	Low-Heat Analysis Unit	0.319	+8%		+1,038%
64703	Overclocked Computer	0.06		+1,120%	
64704	Low-Heat Computer	0.0			+1,000%
64705	Overclocked Visualiser	0.107			+1,213%
64706	Precision Scope	0.1	+6%		
64707	Overclocked Probe	0.3	+8%		
64708	Overclocked Processor	0.131		+1,262%	
64709	Analog Visualiser	0.4	+9%		
64710	Analog Prediction Unit	0.0		+1,000%	
64711	Overclocked Probe	0.085			+1,169%
64712	Precision Detector	0.02		+1,039%	
64713	Analog Scope	0.11			+1,220%
64714	Overclocked Computer	0.01		+1,020%	
64715	Analog Probe	0.005		+1,009%	
64716	Low-Heat Prediction Unit	0.4	+9%		
64717	Waveform Computer	0.5	+10%		
64718	Waveform Visualiser	0.065		+1,130%	
64719	Waveform Computer	0.2	+7%		
64720	Low-Heat Prediction Unit	0.067		+1,133%	
64721	Low-Heat Probe	0.021			+1,041%
64722	Overclocked Scope	0.5	+10%		
64723	Analog Sweep Ray	0.1	+6%		
64724	Low-Heat Siphon	0.334	+6%		+1,467%
64725	Waveform Siphon	0.2	+7%		
64726	Analog Visualiser	0.271		+1,542%	
64727	Overclocked Prediction Unit	0.146		+1,291%	
64728	Low-Heat Processor	0.081			+1,162%
64729	Precision Siphon	0.2	+7%		
64730	Waveform Siphon	0.005			+1,009%
64731	Precision Prediction Unit	0.003		+1,006%	
64732	Waveform Sweep Ray	0.232		+1,464%	
64733	Overclocked Analysis Unit	0.5	+10%		
64734	Analog Analysis Unit	0.5	+10%		
64735	Analog Probe	0.1	+6%		
64736	Precision Probe	0.3	+8%		
64737	Waveform Analysis Unit	0.143			+1,285%
64738	Waveform Computer	0.068			+1,135%
64739	Analog Prediction Unit	0.1	+6%		
64740	Low-Heat Computer	0.077		+1,153%	
64741	Overclocked Sweep Ray	0.1	+6%		
64742	Precision Sweep Ray	0.233	+7%		+1,066%
64743	Low-Heat Sweep Ray	0.028		+1,055%	
64744	Waveform Sweep Ray	0.216		+1,431%	
64745	Overclocked Siphon	0.41		+1,819%	
64746	Overclocked Computer	0.305		+1,610%	
64747	Waveform Siphon	0.041		+1,082%	
64748	Waveform Processor	0.007			+1,013%
64749	Waveform Sweep Ray	0.5	+10%		
64750	Overclocked Computer	0.552	+7%	+1,704%	
64751	Low-Heat Prediction Unit	0.038			+1,075%
64752	Analog Sweep Ray	0.04			+1,079%
64753	Overclocked Processor	0.402			+1,804%
64754	Overclocked Siphon	0.3	+8%		
64755	Precision Probe	0.014		+1,028%	
64756	Overclocked Siphon	0.02		+1,040%	
64757	Low-Heat Analysis Unit	0.407		+1,814%	
64758	Overclocked Computer	0.2	+7%		
64759	Overclocked Scope	0.1	+6%		
64760	Analog Scope	0.438			+1,876%
64761	Waveform Processor	0.009		+1,018%	
64762	Low-Heat Sweep Ray	0.0		+1,000%	
64763	Overclocked Visualiser	0.001			+1,001%
64764	Overclocked Detector	0.057			+1,113%
64765	Precision Scope	0.022			+1,044%
64766	Analog Scope	0.472			+1,943%
64767	Overclocked Computer	0.073		+1,145%	
64768	Overclocked Sweep Ray	0.139		+1,041%	+1,237%
64769	Precision Processor	0.3	+8%		
64770	Analog Detector	0.1	+6%		
64771	Low-Heat Sweep Ray	0.352			+1,703%
64772	Low-Heat Siphon	0.002		+1,004%	
64773	Analog Processor	0.23			+1,460%
64774	Analog Prediction Unit	0.1	+6%		
64775	Low-Heat Scope	0.333		+1,666%	
64776	Analog Visualiser	0.063		+1,125%	+1,000%
64777	Precision Computer	0.01		+1,020%	
64778	Low-Heat Visualiser	0.013			+1,025%
64779	Waveform Siphon	0.169			+1,337%
64780	Precision Detector	0.307		+1,613%	
64781	Precision Probe	0.1	+6%		
64782	Low-Heat Sweep Ray	0.033		+1,065%	
64783	Overclocked Sweep Ray	0.2	+7%		
64784	Overclocked Detector	0.443		+1,886%	
64785	Waveform Siphon	0.067		+1,133%	
64786	Waveform Detector	0.4	+9%		
64787	Overclocked Prediction Unit	0.43			+1,859%
64788	Precision Probe	0.14			+1,279%
64789	Analog Probe	0.181			+1,362%
64790	Precision Prediction Unit	0.058			+1,116%
64791	Precision Scope	0.227			+1,453%
64792	Overclocked Visualiser	0.157			+1,313%
64793	Precision Visualiser	0.0		+1,000%	
64794	Analog Computer	0.383			+1,765%
64795	Overclocked Computer	0.504	+6%		+1,808%
64796	Analog Detector	0.047		+1,094%	
64797	Waveform Analysis Unit	0.4	+9%		
64798	Overclocked Probe	0.286		+1,304%	+1,268%
64799	Precision Detector	0.068			+1,136%
64800	Analog Visualiser	0.075			+1,150%
64801	Low-Heat Computer	0.013		+1,026%	
64802	Waveform Probe	0.1	+6%		
64803	Low-Heat Processor	0.09			+1,179%
64804	Overclocked Siphon	0.058		+1,116%	
64805	Analog Computer	0.093			+1,185%
64806	Low-Heat Prediction Unit	0.425	+8%	+1,250%	
64807	Analog Analysis Unit	0.426			+1,852%
64808	Overclocked Computer	0.006		+1,012%	
64809	Analog Probe	0.3	+8%		
64810	Overclocked Computer	0.071			+1,142%
64811	Overclocked Visualiser	0.1	+6%		
64812	Precision Analysis Unit	0.407		+1,814%	
64813	Low-Heat Prediction Unit	0.0			+1,000%
64814	Overclocked Computer	0.186			+1,371%
64815	Waveform Siphon	0.152			+1,304%
64816	Waveform Prediction Unit	0.134		+1,267%	
64817	Waveform Computer	0.5	+10%		
64818	Overclocked Sweep Ray	0.4	+9%		
64819	Low-Heat Prediction Unit	0.113			+1,226%
64820	Precision Computer	0.365		+1,730%	
64821	Overclocked Sweep Ray	0.488	+9%	+1,175%	
64822	Overclocked Sweep Ray	0.1	+6%		
64823	Analog Prediction Unit	0.08		+1,159%	
64824	Low-Heat Scope	0.2	+7%		
64825	Precision Prediction Unit	0.3	+8%		
64826	Low-Heat Detector	0.441	+7%		+1,481%
64827	Low-Heat Sweep Ray	0.1	+6%		
64828	Low-Heat Detector	0.1	+6%		
64829	Analog Analysis Unit	0.007		+1,014%	
64830	Low-Heat Analysis Unit	0.1	+6%		
64831	Overclocked Prediction Unit	0.053		+1,105%	
64832	Precision Processor	0.01			+1,020%
64833	Low-Heat Analysis Unit	0.2	+7%		
64834	Low-Heat Sweep Ray	0.041			+1,081%
64835	Low-Heat Processor	0.408	+6%	+1,616%	
64836	Analog Visualiser	0.127	+6%		+1,054%
64837	Overclocked Sweep Ray	0.2	+7%		
64838	Overclocked Visualiser	0.001			+1,002%
64839	Analog Prediction Unit	0.2	+7%		
64840	Overclocked Computer	0.458			+1,915%
64841	Low-Heat Scope	0.259		+1,517%	
64842	Analog Sweep Ray	0.537	+9%		+1,274%
64843	Precision Sweep Ray	0.175			+1,350%
64844	Precision Siphon	0.271		+1,542%	
64845	Waveform Prediction Unit	0.034		+1,068%	
64846	Precision Prediction Unit	0.245			+1,490%
64847	Waveform Siphon	0.271			+1,541%
64848	Overclocked Computer	0.198		+1,151%	+1,244%
64849	Overclocked Visualiser	0.103		+1,205%	
64850	Waveform Computer	0.123		+1,245%	
64851	Analog Visualiser	0.4	+9%		
64852	Overclocked Processor	0.409			+1,818%
64853	Precision Scope	0.1	+6%		
64854	Analog Probe	0.2	+7%	+1,000%	
64855	Overclocked Sweep Ray	0.337		+1,666%	+1,007%
64856	Precision Siphon	0.217		+1,433%	
64857	Overclocked Prediction Unit	0.5	+10%		
64858	Precision Probe	0.086		+1,171%	
64859	Low-Heat Visualiser	0.203			+1,406%
64860	Low-Heat Prediction Unit	0.1	+6%		
64861	Low-Heat Sweep Ray	0.239			+1,477%
64862	Waveform Siphon	0.058			+1,116%
64863	Low-Heat Sweep Ray	0.1	+6%		
