Seed	Name	Perfection	Ship_Hyperdrive_JumpDistance
40690	Moistened Lobes	0.02	51 ly
40691	Fragile Lobes	0.0	50 ly
40692	Threaded Emotal Core	0.14	57 ly
40693	Threaded Stellar Processor	0.28	64 ly
40694	Moistened Memory Calculus	0.26	63 ly
40695	Clammy Lobes	0.94	97 ly
40696	Clammy Memory Calculus	0.06	53 ly
40697	Gooey Neural Matrix	0.36	68 ly
40698	Threaded Lobe Actuator	0.94	97 ly
40699	Fragile Cluster Stem	0.1	55 ly
40700	Clammy Emotal Core	0.4	70 ly
40701	Fragile Hive Stem	0.0	50 ly
40702	Fragile Sensory Veil	0.04	52 ly
40703	Threaded Memory Calculus	0.78	89 ly
40704	Fragile Memory Calculus	0.8	90 ly
40705	Moistened Lobe Actuator	0.7	85 ly
40706	Moistened Emotal Core	0.62	81 ly
40707	Moistened Sensory Veil	0.52	76 ly
40708	Threaded Neural Matrix	0.9	95 ly
40709	Threaded Cluster Stem	0.78	89 ly
40710	Threaded Memory Calculus	0.06	53 ly
40711	Gooey Memory Calculus	0.08	54 ly
40712	Clammy Bio-Reality Generator	0.74	87 ly
40713	Fragile Hive Stem	0.28	64 ly
40714	Fragile Lobe Actuator	0.22	61 ly
40715	Gooey Neural Matrix	0.76	88 ly
40716	Threaded Bio-Reality Generator	0.0	50 ly
40717	Moistened Cluster Stem	0.38	69 ly
40718	Clammy Emotal Core	0.14	57 ly
40719	Fragile Neural Matrix	0.0	50 ly
40720	Gooey Neural Matrix	0.6	80 ly
40721	Fragile Hive Stem	0.0	50 ly
40722	Moistened Lobes	0.06	53 ly
40723	Gooey Cluster Stem	0.8	90 ly
40724	Threaded Bio-Reality Generator	0.36	68 ly
40725	Gooey Bio-Reality Generator	0.18	59 ly
40726	Threaded Lobes	0.12	56 ly
40727	Fragile Memory Calculus	0.02	51 ly
40728	Gooey Hive Stem	0.98	99 ly
40729	Gooey Sensory Veil	0.74	87 ly
40730	Clammy Emotal Core	0.1	55 ly
40731	Clammy Memory Calculus	0.56	78 ly
40732	Moistened Lobes	0.34	67 ly
40733	Moistened Neural Matrix	0.28	64 ly
40734	Fragile Cluster Stem	0.64	82 ly
40735	Threaded Lobes	0.52	76 ly
40736	Clammy Sensory Veil	0.02	51 ly
40737	Threaded Lobes	0.06	53 ly
40738	Clammy Bio-Reality Generator	0.32	66 ly
40739	Moistened Hive Stem	0.26	63 ly
40740	Gooey Memory Calculus	0.22	61 ly
40741	Threaded Memory Calculus	0.12	56 ly
40742	Threaded Stellar Processor	0.26	63 ly
40743	Fragile Emotal Core	0.64	82 ly
40744	Threaded Emotal Core	0.28	64 ly
40745	Fragile Lobes	0.02	51 ly
40746	Clammy Lobe Actuator	0.02	51 ly
40747	Gooey Bio-Reality Generator	0.08	54 ly
40748	Threaded Stellar Processor	0.04	52 ly
40749	Moistened Sensory Veil	0.22	61 ly
40750	Fragile Hive Stem	0.32	66 ly
40751	Fragile Hive Stem	0.22	61 ly
40752	Fragile Emotal Core	0.78	89 ly
40753	Gooey Lobes	0.0	50 ly
40754	Clammy Lobe Actuator	0.06	53 ly
40755	Moistened Stellar Processor	0.0	50 ly
40756	Threaded Hive Stem	0.18	59 ly
40757	Clammy Cluster Stem	0.32	66 ly
40758	Gooey Hive Stem	0.16	58 ly
40759	Moistened Lobes	0.04	52 ly
40760	Moistened Stellar Processor	0.4	70 ly
40761	Threaded Lobes	0.06	53 ly
40762	Threaded Cluster Stem	0.26	63 ly
40763	Moistened Lobes	0.08	54 ly
40764	Moistened Cluster Stem	0.32	66 ly
40765	Fragile Bio-Reality Generator	0.02	51 ly
40766	Moistened Lobes	0.5	75 ly
40767	Gooey Lobe Actuator	0.52	76 ly
40768	Fragile Memory Calculus	0.0	50 ly
40769	Clammy Hive Stem	0.9	95 ly
40770	Threaded Lobes	0.0	50 ly
40771	Gooey Cluster Stem	0.06	53 ly
40772	Threaded Neural Matrix	0.0	50 ly
40773	Clammy Cluster Stem	0.08	54 ly
40774	Threaded Emotal Core	0.72	86 ly
40775	Clammy Emotal Core	0.0	50 ly
40776	Clammy Neural Matrix	0.66	83 ly
40777	Fragile Bio-Reality Generator	0.04	52 ly
40778	Threaded Emotal Core	0.12	56 ly
40779	Fragile Lobes	0.1	55 ly
40780	Clammy Emotal Core	0.04	52 ly
40781	Fragile Hive Stem	0.2	60 ly
40782	Threaded Bio-Reality Generator	0.86	93 ly
40783	Fragile Memory Calculus	0.0	50 ly
40784	Threaded Emotal Core	0.86	93 ly
40785	Moistened Bio-Reality Generator	0.02	51 ly
40786	Fragile Stellar Processor	0.28	64 ly
40787	Gooey Bio-Reality Generator	0.0	50 ly
40788	Gooey Stellar Processor	0.54	77 ly
40789	Moistened Bio-Reality Generator	0.6	80 ly
40790	Gooey Cluster Stem	0.0	50 ly
40791	Fragile Sensory Veil	0.36	68 ly
40792	Moistened Neural Matrix	0.02	51 ly
40793	Fragile Hive Stem	0.94	97 ly
40794	Threaded Lobes	0.18	59 ly
40795	Moistened Lobe Actuator	0.8	90 ly
40796	Clammy Bio-Reality Generator	0.04	52 ly
40797	Threaded Stellar Processor	0.42	71 ly
40798	Fragile Memory Calculus	0.04	52 ly
40799	Gooey Stellar Processor	0.18	59 ly
40800	Threaded Lobe Actuator	0.42	71 ly
40801	Clammy Bio-Reality Generator	0.02	51 ly
40802	Threaded Neural Matrix	0.76	88 ly
40803	Gooey Bio-Reality Generator	0.46	73 ly
40804	Gooey Memory Calculus	0.82	91 ly
40805	Clammy Stellar Processor	0.08	54 ly
40806	Fragile Memory Calculus	0.2	60 ly
40807	Fragile Sensory Veil	0.5	75 ly
40808	Gooey Memory Calculus	0.18	59 ly
40809	Gooey Sensory Veil	0.04	52 ly
40810	Threaded Cluster Stem	0.54	77 ly
40811	Gooey Sensory Veil	0.76	88 ly
40812	Gooey Neural Matrix	0.08	54 ly
40813	Moistened Bio-Reality Generator	0.28	64 ly
40814	Moistened Sensory Veil	0.06	53 ly
40815	Clammy Memory Calculus	0.48	74 ly
40816	Clammy Lobe Actuator	0.5	75 ly
40817	Gooey Memory Calculus	0.18	59 ly
40818	Fragile Lobes	0.0	50 ly
40819	Threaded Lobe Actuator	0.24	62 ly
40820	Threaded Lobe Actuator	0.0	50 ly
40821	Threaded Lobe Actuator	0.06	53 ly
40822	Moistened Lobes	0.7	85 ly
40823	Fragile Lobes	0.58	79 ly
40824	Threaded Bio-Reality Generator	0.06	53 ly
40825	Gooey Neural Matrix	0.02	51 ly
40826	Moistened Neural Matrix	0.0	50 ly
40827	Gooey Stellar Processor	0.0	50 ly
40828	Fragile Memory Calculus	0.06	53 ly
40829	Fragile Bio-Reality Generator	0.52	76 ly
40830	Fragile Lobe Actuator	0.96	98 ly
40831	Clammy Emotal Core	0.36	68 ly
40832	Gooey Hive Stem	0.34	67 ly
40833	Threaded Neural Matrix	0.02	51 ly
40834	Clammy Memory Calculus	0.36	68 ly
40835	Moistened Hive Stem	0.1	55 ly
40836	Gooey Bio-Reality Generator	0.08	54 ly
40837	Gooey Bio-Reality Generator	0.02	51 ly
40838	Moistened Bio-Reality Generator	0.18	59 ly
40839	Moistened Emotal Core	0.58	79 ly
40840	Fragile Hive Stem	0.2	60 ly
40841	Threaded Lobe Actuator	0.68	84 ly
40842	Moistened Lobes	0.02	51 ly
40843	Moistened Memory Calculus	0.1	55 ly
40844	Gooey Hive Stem	0.0	50 ly
40845	Threaded Bio-Reality Generator	0.04	52 ly
40846	Moistened Lobes	0.02	51 ly
40847	Gooey Emotal Core	0.02	51 ly
40848	Threaded Emotal Core	0.1	55 ly
40849	Fragile Bio-Reality Generator	0.28	64 ly
40850	Clammy Memory Calculus	0.3	65 ly
40851	Gooey Stellar Processor	0.0	50 ly
40852	Clammy Neural Matrix	0.48	74 ly
40853	Gooey Emotal Core	0.12	56 ly
40854	Clammy Lobes	0.06	53 ly
40855	Fragile Hive Stem	0.0	50 ly
40856	Clammy Bio-Reality Generator	0.04	52 ly
40857	Clammy Stellar Processor	0.34	67 ly
40858	Fragile Emotal Core	0.62	81 ly
40859	Fragile Cluster Stem	0.16	58 ly
40860	Threaded Hive Stem	0.34	67 ly
40861	Moistened Neural Matrix	0.14	57 ly
40862	Fragile Sensory Veil	0.0	50 ly
40863	Fragile Cluster Stem	0.46	73 ly
40864	Threaded Neural Matrix	0.02	51 ly
40865	Threaded Emotal Core	0.06	53 ly
40866	Moistened Neural Matrix	0.5	75 ly
40867	Fragile Cluster Stem	0.22	61 ly
40868	Gooey Hive Stem	0.48	74 ly
40869	Fragile Sensory Veil	0.16	58 ly
40870	Fragile Sensory Veil	0.74	87 ly
40871	Clammy Lobe Actuator	0.72	86 ly
40872	Fragile Stellar Processor	0.66	83 ly
40873	Fragile Memory Calculus	0.1	55 ly
40874	Clammy Stellar Processor	0.06	53 ly
40875	Clammy Sensory Veil	0.1	55 ly
40876	Threaded Memory Calculus	0.92	96 ly
40877	Threaded Neural Matrix	0.64	82 ly
40878	Gooey Emotal Core	0.06	53 ly
40879	Gooey Stellar Processor	0.48	74 ly
40880	Clammy Memory Calculus	0.12	56 ly
40881	Moistened Emotal Core	0.56	78 ly
40882	Threaded Sensory Veil	0.0	50 ly
40883	Clammy Lobes	0.08	54 ly
40884	Gooey Hive Stem	0.78	89 ly
40885	Threaded Lobes	0.42	71 ly
40886	Threaded Cluster Stem	0.0	50 ly
40887	Threaded Lobes	0.42	71 ly
40888	Fragile Sensory Veil	0.22	61 ly
40889	Moistened Emotal Core	0.0	50 ly
40890	Clammy Lobe Actuator	0.9	95 ly
40891	Moistened Bio-Reality Generator	0.66	83 ly
40892	Fragile Neural Matrix	0.14	57 ly
40893	Fragile Bio-Reality Generator	0.9	95 ly
40894	Threaded Lobe Actuator	0.74	87 ly
40895	Clammy Neural Matrix	0.02	51 ly
40896	Gooey Sensory Veil	0.38	69 ly
40897	Fragile Stellar Processor	0.14	57 ly
40898	Threaded Lobes	0.14	57 ly
40899	Clammy Emotal Core	0.0	50 ly
40900	Moistened Cluster Stem	0.66	83 ly
40901	Clammy Neural Matrix	0.78	89 ly
40902	Clammy Neural Matrix	0.82	91 ly
40903	Moistened Lobe Actuator	0.8	90 ly
40904	Gooey Lobes	0.4	70 ly
40905	Threaded Hive Stem	0.68	84 ly
40906	Moistened Bio-Reality Generator	0.36	68 ly
40907	Moistened Bio-Reality Generator	0.18	59 ly
40908	Moistened Cluster Stem	0.9	95 ly
40909	Gooey Neural Matrix	0.04	52 ly
40910	Moistened Hive Stem	0.44	72 ly
40911	Fragile Bio-Reality Generator	0.18	59 ly
40912	Gooey Bio-Reality Generator	0.52	76 ly
40913	Fragile Lobes	0.3	65 ly
40914	Gooey Lobes	0.7	85 ly
40915	Clammy Cluster Stem	0.64	82 ly
40916	Moistened Memory Calculus	0.54	77 ly
40917	Gooey Memory Calculus	0.04	52 ly
40918	Fragile Cluster Stem	0.06	53 ly
40919	Moistened Stellar Processor	0.54	77 ly
40920	Clammy Hive Stem	0.42	71 ly
40921	Fragile Bio-Reality Generator	0.06	53 ly
40922	Gooey Emotal Core	0.0	50 ly
40923	Clammy Cluster Stem	0.18	59 ly
40924	Moistened Cluster Stem	0.62	81 ly
40925	Fragile Emotal Core	0.56	78 ly
40926	Threaded Lobes	0.82	91 ly
40927	Fragile Emotal Core	0.56	78 ly
40928	Clammy Hive Stem	0.78	89 ly
40929	Moistened Stellar Processor	0.28	64 ly
40930	Gooey Memory Calculus	0.34	67 ly
40931	Moistened Sensory Veil	0.34	67 ly
40932	Gooey Hive Stem	0.2	60 ly
40933	Clammy Sensory Veil	0.36	68 ly
40934	Moistened Memory Calculus	0.38	69 ly
40935	Clammy Cluster Stem	0.82	91 ly
40936	Moistened Sensory Veil	0.58	79 ly
40937	Threaded Lobes	0.24	62 ly
40938	Clammy Hive Stem	0.04	52 ly
40939	Moistened Stellar Processor	0.94	97 ly
40940	Gooey Cluster Stem	0.2	60 ly
40941	Threaded Sensory Veil	0.1	55 ly
40942	Gooey Stellar Processor	0.02	51 ly
40943	Gooey Emotal Core	0.22	61 ly
40944	Fragile Lobes	0.68	84 ly
40945	Moistened Stellar Processor	0.84	92 ly
40946	Moistened Lobes	0.04	52 ly
40947	Threaded Neural Matrix	0.08	54 ly
40948	Fragile Bio-Reality Generator	0.52	76 ly
40949	Threaded Memory Calculus	0.14	57 ly
40950	Moistened Lobes	0.32	66 ly
40951	Moistened Lobe Actuator	0.7	85 ly
40952	Clammy Hive Stem	0.14	57 ly
40953	Fragile Bio-Reality Generator	0.08	54 ly
40954	Threaded Hive Stem	0.0	50 ly
40955	Fragile Bio-Reality Generator	0.4	70 ly
40956	Gooey Lobe Actuator	0.18	59 ly
40957	Threaded Lobe Actuator	0.46	73 ly
40958	Moistened Lobe Actuator	0.66	83 ly
40959	Clammy Emotal Core	0.0	50 ly
40960	Moistened Cluster Stem	0.02	51 ly
40961	Fragile Lobes	0.86	93 ly
40962	Clammy Hive Stem	0.04	52 ly
40963	Fragile Lobes	0.02	51 ly
40964	Clammy Neural Matrix	0.4	70 ly
40965	Clammy Memory Calculus	0.12	56 ly
40966	Gooey Memory Calculus	0.0	50 ly
40967	Fragile Neural Matrix	0.22	61 ly
40968	Fragile Cluster Stem	0.2	60 ly
40969	Moistened Emotal Core	0.06	53 ly
40970	Fragile Bio-Reality Generator	0.16	58 ly
40971	Moistened Stellar Processor	0.52	76 ly
40972	Gooey Hive Stem	0.0	50 ly
40973	Clammy Lobes	0.3	65 ly
40974	Gooey Lobe Actuator	0.02	51 ly
40975	Clammy Memory Calculus	0.58	79 ly
40976	Moistened Memory Calculus	0.84	92 ly
40977	Threaded Sensory Veil	0.0	50 ly
40978	Gooey Sensory Veil	0.34	67 ly
40979	Clammy Cluster Stem	0.02	51 ly
40980	Clammy Emotal Core	0.04	52 ly
40981	Gooey Emotal Core	0.88	94 ly
40982	Clammy Cluster Stem	0.18	59 ly
40983	Fragile Sensory Veil	0.76	88 ly
40984	Clammy Stellar Processor	0.32	66 ly
40985	Clammy Bio-Reality Generator	0.62	81 ly
40986	Moistened Lobe Actuator	0.0	50 ly
40987	Clammy Stellar Processor	0.46	73 ly
40988	Clammy Neural Matrix	0.68	84 ly
40989	Threaded Stellar Processor	0.0	50 ly
40990	Clammy Hive Stem	0.8	90 ly
40991	Threaded Bio-Reality Generator	0.04	52 ly
40992	Clammy Bio-Reality Generator	0.0	50 ly
40993	Gooey Hive Stem	0.02	51 ly
40994	Threaded Sensory Veil	0.04	52 ly
40995	Moistened Stellar Processor	0.36	68 ly
40996	Gooey Lobe Actuator	0.36	68 ly
40997	Clammy Hive Stem	0.46	73 ly
40998	Clammy Hive Stem	0.08	54 ly
40999	Threaded Lobe Actuator	0.1	55 ly
41000	Gooey Lobe Actuator	0.68	84 ly
41001	Clammy Bio-Reality Generator	0.34	67 ly
41002	Gooey Neural Matrix	0.9	95 ly
41003	Threaded Bio-Reality Generator	0.02	51 ly
41004	Gooey Lobes	0.82	91 ly
41005	Threaded Emotal Core	0.62	81 ly
41006	Moistened Stellar Processor	0.02	51 ly
41007	Fragile Bio-Reality Generator	0.5	75 ly
41008	Gooey Emotal Core	0.0	50 ly
41009	Fragile Lobes	0.32	66 ly
41010	Moistened Sensory Veil	0.0	50 ly
41011	Clammy Stellar Processor	0.42	71 ly
41012	Threaded Neural Matrix	0.9	95 ly
41013	Threaded Lobe Actuator	0.56	78 ly
41014	Moistened Lobes	0.02	51 ly
41015	Threaded Sensory Veil	0.0	50 ly
41016	Threaded Emotal Core	0.12	56 ly
41017	Clammy Neural Matrix	0.6	80 ly
41018	Threaded Lobe Actuator	0.18	59 ly
41019	Moistened Neural Matrix	0.32	66 ly
41020	Fragile Neural Matrix	0.0	50 ly
41021	Gooey Lobes	0.8	90 ly
41022	Moistened Lobes	0.62	81 ly
41023	Clammy Bio-Reality Generator	0.0	50 ly
41024	Clammy Bio-Reality Generator	0.18	59 ly
41025	Threaded Emotal Core	0.36	68 ly
41026	Moistened Hive Stem	0.78	89 ly
41027	Moistened Bio-Reality Generator	0.08	54 ly
41028	Gooey Emotal Core	0.18	59 ly
41029	Threaded Hive Stem	0.0	50 ly
41030	Fragile Stellar Processor	0.8	90 ly
41031	Fragile Stellar Processor	0.14	57 ly
41032	Moistened Neural Matrix	0.76	88 ly
41033	Gooey Emotal Core	0.82	91 ly
41034	Moistened Memory Calculus	0.0	50 ly
41035	Gooey Lobe Actuator	0.26	63 ly
41036	Fragile Cluster Stem	0.0	50 ly
41037	Clammy Lobe Actuator	0.06	53 ly
41038	Clammy Emotal Core	0.06	53 ly
41039	Threaded Cluster Stem	0.22	61 ly
41040	Gooey Bio-Reality Generator	0.1	55 ly
41041	Clammy Emotal Core	0.42	71 ly
41042	Gooey Lobes	0.9	95 ly
41043	Moistened Neural Matrix	0.86	93 ly
41044	Gooey Memory Calculus	0.22	61 ly
41045	Clammy Memory Calculus	0.06	53 ly
41046	Clammy Bio-Reality Generator	0.68	84 ly
41047	Fragile Lobes	0.88	94 ly
41048	Clammy Emotal Core	0.28	64 ly
41049	Fragile Sensory Veil	0.06	53 ly
41050	Moistened Stellar Processor	0.54	77 ly
41051	Clammy Stellar Processor	0.04	52 ly
41052	Clammy Neural Matrix	0.08	54 ly
41053	Fragile Neural Matrix	0.14	57 ly
41054	Threaded Memory Calculus	0.26	63 ly
41055	Moistened Memory Calculus	0.0	50 ly
41056	Gooey Hive Stem	0.48	74 ly
41057	Fragile Bio-Reality Generator	0.3	65 ly
41058	Clammy Bio-Reality Generator	0.12	56 ly
41059	Gooey Lobes	0.68	84 ly
41060	Fragile Lobes	0.1	55 ly
41061	Clammy Emotal Core	0.22	61 ly
41062	Clammy Bio-Reality Generator	0.54	77 ly
41063	Clammy Sensory Veil	0.82	91 ly
41064	Fragile Cluster Stem	0.0	50 ly
41065	Gooey Hive Stem	0.5	75 ly
41066	Moistened Cluster Stem	0.26	63 ly
41067	Clammy Lobe Actuator	0.08	54 ly
41068	Moistened Sensory Veil	0.06	53 ly
41069	Threaded Memory Calculus	0.34	67 ly
41070	Clammy Sensory Veil	0.96	98 ly
41071	Clammy Hive Stem	0.5	75 ly
41072	Moistened Bio-Reality Generator	0.34	67 ly
41073	Moistened Neural Matrix	0.18	59 ly
41074	Threaded Lobe Actuator	0.0	50 ly
41075	Clammy Sensory Veil	0.04	52 ly
41076	Gooey Memory Calculus	0.2	60 ly
41077	Gooey Sensory Veil	0.28	64 ly
41078	Fragile Emotal Core	0.02	51 ly
41079	Gooey Emotal Core	0.02	51 ly
41080	Fragile Cluster Stem	0.06	53 ly
41081	Threaded Emotal Core	0.46	73 ly
41082	Moistened Memory Calculus	0.62	81 ly
41083	Threaded Bio-Reality Generator	0.18	59 ly
41084	Moistened Emotal Core	0.98	99 ly
41085	Moistened Stellar Processor	0.42	71 ly
41086	Clammy Emotal Core	0.92	96 ly
41087	Clammy Emotal Core	0.02	51 ly
41088	Moistened Neural Matrix	0.06	53 ly
41089	Clammy Hive Stem	0.0	50 ly
41090	Fragile Lobes	0.58	79 ly
41091	Moistened Memory Calculus	0.38	69 ly
41092	Fragile Bio-Reality Generator	0.28	64 ly
41093	Gooey Neural Matrix	0.98	99 ly
41094	Gooey Sensory Veil	0.06	53 ly
41095	Threaded Memory Calculus	0.06	53 ly
41096	Clammy Cluster Stem	0.48	74 ly
41097	Gooey Neural Matrix	0.34	67 ly
41098	Moistened Bio-Reality Generator	0.78	89 ly
41099	Clammy Hive Stem	0.16	58 ly
41100	Threaded Bio-Reality Generator	0.46	73 ly
41101	Moistened Sensory Veil	0.74	87 ly
41102	Threaded Lobes	0.56	78 ly
41103	Fragile Sensory Veil	0.94	97 ly
41104	Threaded Lobe Actuator	0.92	96 ly
41105	Fragile Stellar Processor	0.76	88 ly
41106	Moistened Hive Stem	0.22	61 ly
41107	Moistened Cluster Stem	0.46	73 ly
41108	Gooey Bio-Reality Generator	0.08	54 ly
41109	Moistened Memory Calculus	0.94	97 ly
41110	Threaded Lobes	0.02	51 ly
41111	Threaded Neural Matrix	0.02	51 ly
41112	Clammy Cluster Stem	0.42	71 ly
41113	Gooey Lobes	0.3	65 ly
41114	Moistened Neural Matrix	0.52	76 ly
41115	Fragile Sensory Veil	0.26	63 ly
41116	Gooey Lobes	0.24	62 ly
41117	Threaded Lobe Actuator	0.92	96 ly
41118	Threaded Memory Calculus	0.86	93 ly
41119	Gooey Neural Matrix	0.12	56 ly
41120	Moistened Hive Stem	0.14	57 ly
41121	Gooey Stellar Processor	0.24	62 ly
41122	Threaded Neural Matrix	0.2	60 ly
41123	Clammy Stellar Processor	0.4	70 ly
41124	Moistened Neural Matrix	0.36	68 ly
41125	Fragile Cluster Stem	0.4	70 ly
41126	Moistened Hive Stem	0.0	50 ly
41127	Moistened Emotal Core	0.48	74 ly
41128	Fragile Sensory Veil	0.14	57 ly
41129	Gooey Cluster Stem	0.14	57 ly
41130	Moistened Stellar Processor	0.4	70 ly
41131	Moistened Hive Stem	0.82	91 ly
41132	Gooey Cluster Stem	0.0	50 ly
41133	Clammy Sensory Veil	0.02	51 ly
41134	Clammy Sensory Veil	0.06	53 ly
41135	Clammy Cluster Stem	0.14	57 ly
41136	Gooey Lobe Actuator	0.0	50 ly
41137	Fragile Memory Calculus	0.0	50 ly
41138	Clammy Lobes	0.12	56 ly
41139	Gooey Bio-Reality Generator	0.72	86 ly
41140	Clammy Memory Calculus	0.4	70 ly
41141	Fragile Lobes	0.08	54 ly
41142	Threaded Neural Matrix	0.42	71 ly
41143	Fragile Bio-Reality Generator	0.04	52 ly
41144	Gooey Lobes	0.58	79 ly
41145	Gooey Neural Matrix	0.1	55 ly
41146	Clammy Neural Matrix	0.06	53 ly
41147	Moistened Cluster Stem	0.12	56 ly
41148	Threaded Emotal Core	0.34	67 ly
41149	Clammy Lobes	0.6	80 ly
41150	Clammy Neural Matrix	0.62	81 ly
41151	Threaded Hive Stem	0.6	80 ly
41152	Fragile Stellar Processor	0.12	56 ly
41153	Threaded Memory Calculus	0.76	88 ly
41154	Moistened Neural Matrix	0.2	60 ly
41155	Clammy Lobes	0.0	50 ly
41156	Clammy Emotal Core	0.34	67 ly
41157	Fragile Sensory Veil	0.54	77 ly
41158	Fragile Hive Stem	0.2	60 ly
41159	Moistened Lobes	0.0	50 ly
41160	Threaded Cluster Stem	0.04	52 ly
41161	Moistened Lobes	0.12	56 ly
41162	Moistened Memory Calculus	0.8	90 ly
41163	Clammy Neural Matrix	0.2	60 ly
41164	Fragile Hive Stem	0.26	63 ly
41165	Fragile Neural Matrix	0.34	67 ly
41166	Moistened Emotal Core	0.42	71 ly
41167	Gooey Memory Calculus	0.88	94 ly
41168	Gooey Neural Matrix	0.96	98 ly
41169	Threaded Stellar Processor	0.52	76 ly
41170	Gooey Emotal Core	0.4	70 ly
41171	Threaded Bio-Reality Generator	0.18	59 ly
41172	Clammy Stellar Processor	0.34	67 ly
41173	Moistened Bio-Reality Generator	0.76	88 ly
41174	Fragile Hive Stem	0.0	50 ly
41175	Fragile Cluster Stem	0.16	58 ly
41176	Moistened Hive Stem	0.62	81 ly
41177	Clammy Lobe Actuator	0.6	80 ly
41178	Threaded Hive Stem	0.0	50 ly
41179	Gooey Cluster Stem	0.38	69 ly
41180	Fragile Sensory Veil	0.98	99 ly
41181	Fragile Lobes	0.38	69 ly
41182	Gooey Bio-Reality Generator	0.24	62 ly
41183	Moistened Lobes	0.2	60 ly
41184	Gooey Emotal Core	0.72	86 ly
41185	Gooey Emotal Core	0.92	96 ly
41186	Moistened Lobe Actuator	0.26	63 ly
41187	Gooey Neural Matrix	0.78	89 ly
41188	Moistened Hive Stem	0.7	85 ly
41189	Fragile Lobes	0.94	97 ly
41190	Threaded Cluster Stem	0.38	69 ly
41191	Gooey Cluster Stem	0.12	56 ly
41192	Gooey Stellar Processor	0.3	65 ly
41193	Gooey Stellar Processor	0.0	50 ly
41194	Fragile Stellar Processor	0.8	90 ly
41195	Threaded Memory Calculus	0.46	73 ly
41196	Threaded Emotal Core	0.06	53 ly
41197	Fragile Cluster Stem	0.78	89 ly
41198	Gooey Cluster Stem	0.42	71 ly
41199	Gooey Sensory Veil	0.22	61 ly
41200	Moistened Emotal Core	0.36	68 ly
41201	Moistened Lobes	0.38	69 ly
41202	Threaded Lobes	0.0	50 ly
41203	Gooey Stellar Processor	0.74	87 ly
41204	Threaded Memory Calculus	0.76	88 ly
41205	Moistened Cluster Stem	0.12	56 ly
41206	Threaded Lobes	0.76	88 ly
41207	Clammy Cluster Stem	0.14	57 ly
41208	Threaded Stellar Processor	0.28	64 ly
41209	Moistened Bio-Reality Generator	0.08	54 ly
41210	Fragile Lobe Actuator	0.02	51 ly
41211	Moistened Neural Matrix	0.64	82 ly
41212	Threaded Sensory Veil	0.16	58 ly
41213	Threaded Sensory Veil	0.44	72 ly
41214	Clammy Stellar Processor	0.56	78 ly
41215	Moistened Lobes	0.02	51 ly
41216	Threaded Emotal Core	0.48	74 ly
41217	Moistened Neural Matrix	0.7	85 ly
41218	Threaded Lobes	0.08	54 ly
41219	Fragile Bio-Reality Generator	0.14	57 ly
41220	Moistened Memory Calculus	0.9	95 ly
41221	Fragile Lobes	0.02	51 ly
41222	Moistened Memory Calculus	0.48	74 ly
41223	Fragile Bio-Reality Generator	0.1	55 ly
41224	Threaded Hive Stem	0.18	59 ly
41225	Fragile Lobe Actuator	0.26	63 ly
41226	Clammy Sensory Veil	0.86	93 ly
41227	Clammy Stellar Processor	0.0	50 ly
41228	Moistened Hive Stem	0.38	69 ly
41229	Fragile Lobe Actuator	0.32	66 ly
41230	Moistened Bio-Reality Generator	0.0	50 ly
41231	Moistened Cluster Stem	0.56	78 ly
41232	Clammy Stellar Processor	0.94	97 ly
41233	Moistened Stellar Processor	0.12	56 ly
41234	Threaded Hive Stem	0.3	65 ly
41235	Moistened Lobes	0.06	53 ly
41236	Fragile Sensory Veil	0.02	51 ly
41237	Fragile Emotal Core	0.06	53 ly
41238	Clammy Stellar Processor	0.34	67 ly
41239	Fragile Lobe Actuator	0.06	53 ly
41240	Threaded Neural Matrix	0.62	81 ly
41241	Fragile Cluster Stem	0.6	80 ly
41242	Clammy Lobes	0.12	56 ly
41243	Threaded Bio-Reality Generator	0.94	97 ly
41244	Gooey Lobes	0.82	91 ly
41245	Threaded Neural Matrix	0.4	70 ly
41246	Clammy Memory Calculus	0.04	52 ly
41247	Moistened Stellar Processor	0.36	68 ly
41248	Gooey Lobes	0.02	51 ly
41249	Clammy Sensory Veil	0.6	80 ly
41250	Clammy Emotal Core	0.02	51 ly
41251	Fragile Cluster Stem	0.46	73 ly
41252	Threaded Neural Matrix	0.14	57 ly
41253	Moistened Memory Calculus	0.56	78 ly
41254	Moistened Cluster Stem	0.16	58 ly
41255	Clammy Lobe Actuator	0.76	88 ly
41256	Clammy Lobe Actuator	0.5	75 ly
41257	Threaded Stellar Processor	0.48	74 ly
41258	Gooey Bio-Reality Generator	0.0	50 ly
41259	Fragile Lobe Actuator	0.08	54 ly
41260	Fragile Memory Calculus	0.36	68 ly
41261	Threaded Lobe Actuator	0.04	52 ly
41262	Gooey Lobes	0.12	56 ly
41263	Fragile Lobes	0.38	69 ly
41264	Clammy Sensory Veil	0.0	50 ly
41265	Gooey Hive Stem	0.3	65 ly
41266	Moistened Stellar Processor	0.08	54 ly
41267	Fragile Lobes	0.16	58 ly
41268	Threaded Stellar Processor	0.66	83 ly
41269	Threaded Hive Stem	0.96	98 ly
41270	Moistened Cluster Stem	0.16	58 ly
41271	Threaded Lobe Actuator	0.48	74 ly
41272	Moistened Sensory Veil	0.2	60 ly
41273	Clammy Emotal Core	0.14	57 ly
41274	Fragile Neural Matrix	0.06	53 ly
41275	Fragile Emotal Core	0.66	83 ly
