Seed,Name,Perfection,Ship_Hyperdrive_JumpDistance,Ship_Hyperdrive_JumpsPerCell
58748,Tremendous Sensory Veil,0.9,195 ly,
58749,Engorged Emotal Core,0.1,155 ly,
58750,Tremendous Neural Matrix,0.6,180 ly,
58751,Engorged Memory Calculus,0.1,155 ly,
58752,Glassy Lobes,0.08,154 ly,
58753,Tremendous Emotal Core,1.0,,+100%
58754,Tremendous Sensory Veil,1.0,,+100%
58755,Glorious Emotal Core,0.52,176 ly,
58756,Engorged Hive Stem,0.5,175 ly,
58757,Engorged Sensory Veil,0.56,178 ly,
58758,Engorged Bio-Reality Generator,0.0,150 ly,
58759,Tremendous Neural Matrix,1.0,,+100%
58760,Beloved Lobe Actuator,0.24,162 ly,
58761,Beloved Lobes,1.0,,+100%
58762,Tremendous Cluster Stem,0.24,162 ly,
58763,Tremendous Memory Calculus,0.12,156 ly,
58764,Tremendous Sensory Veil,1.0,,+100%
58765,Beloved Sensory Veil,0.0,150 ly,
58766,Beloved Stellar Processor,0.14,157 ly,
58767,Tremendous Lobes,0.48,174 ly,
58768,Glorious Sensory Veil,0.02,151 ly,
58769,Tremendous Lobe Actuator,1.0,,+100%
58770,Tremendous Lobes,1.0,,+100%
58771,Engorged Neural Matrix,1.0,,+100%
58772,Tremendous Hive Stem,1.0,,+100%
58773,Glassy Memory Calculus,1.0,,+100%
58774,Beloved Stellar Processor,1.0,,+100%
58775,Glassy Neural Matrix,1.0,,+100%
58776,Glorious Lobe Actuator,1.0,,+100%
58777,Glorious Sensory Veil,0.02,151 ly,
58778,Beloved Hive Stem,0.36,168 ly,
58779,Tremendous Lobes,0.1,155 ly,
58780,Tremendous Neural Matrix,1.0,,+100%
58781,Beloved Cluster Stem,1.0,,+100%
58782,Beloved Lobes,1.0,,+100%
58783,Glassy Memory Calculus,1.0,,+100%
58784,Engorged Sensory Veil,1.0,,+100%
58785,Beloved Bio-Reality Generator,1.0,,+100%
58786,Tremendous Cluster Stem,0.38,169 ly,
58787,Glassy Cluster Stem,1.0,,+100%
58788,Engorged Bio-Reality Generator,0.0,150 ly,
58789,Beloved Bio-Reality Generator,1.0,,+100%
58790,Tremendous Hive Stem,1.0,,+100%
58791,Glorious Memory Calculus,1.0,,+100%
58792,Engorged Hive Stem,1.0,200 ly,
58793,Glorious Neural Matrix,0.08,154 ly,
58794,Beloved Cluster Stem,1.0,,+100%
58795,Beloved Hive Stem,1.0,,+100%
58796,Tremendous Cluster Stem,0.62,181 ly,
58797,Tremendous Lobes,1.0,,+100%
58798,Glorious Cluster Stem,0.86,193 ly,
58799,Glorious Hive Stem,1.0,,+100%
58800,Glorious Neural Matrix,1.0,,+100%
58801,Tremendous Neural Matrix,0.1,155 ly,
58802,Glorious Stellar Processor,0.96,198 ly,
58803,Beloved Hive Stem,1.0,,+100%
58804,Beloved Stellar Processor,1.0,,+100%
58805,Beloved Bio-Reality Generator,1.0,,+100%
58806,Beloved Hive Stem,1.0,,+100%
58807,Tremendous Neural Matrix,0.06,153 ly,
58808,Engorged Lobe Actuator,1.0,,+100%
58809,Glorious Memory Calculus,1.0,,+100%
58810,Glassy Emotal Core,1.0,,+100%
58811,Glorious Hive Stem,1.0,,+100%
58812,Glassy Memory Calculus,1.0,,+100%
58813,Engorged Cluster Stem,1.0,,+100%
58814,Beloved Hive Stem,0.62,181 ly,
58815,Engorged Stellar Processor,1.0,,+100%
58816,Engorged Hive Stem,1.0,,+100%
58817,Tremendous Memory Calculus,1.0,,+100%
58818,Tremendous Bio-Reality Generator,0.64,182 ly,
58819,Glassy Neural Matrix,0.0,150 ly,
58820,Engorged Stellar Processor,1.0,,+100%
58821,Glorious Lobes,1.0,,+100%
58822,Tremendous Memory Calculus,0.2,160 ly,
58823,Beloved Stellar Processor,0.0,150 ly,
58824,Engorged Lobes,1.0,,+100%
58825,Glorious Neural Matrix,1.0,,+100%
58826,Glassy Memory Calculus,0.0,150 ly,
58827,Engorged Emotal Core,1.0,,+100%
58828,Glorious Neural Matrix,0.56,178 ly,
58829,Engorged Bio-Reality Generator,1.0,,+100%
58830,Glorious Hive Stem,1.0,,+100%
58831,Tremendous Bio-Reality Generator,1.0,,+100%
58832,Engorged Emotal Core,0.3,165 ly,
58833,Tremendous Lobes,1.0,,+100%
58834,Engorged Cluster Stem,0.06,153 ly,
58835,Glassy Stellar Processor,0.44,172 ly,
58836,Glassy Cluster Stem,0.08,154 ly,
58837,Glorious Hive Stem,0.08,154 ly,
58838,Glorious Lobes,0.78,189 ly,
58839,Glassy Cluster Stem,1.0,,+100%
58840,Glorious Sensory Veil,1.0,,+100%
58841,Beloved Lobe Actuator,0.16,158 ly,
58842,Glassy Lobe Actuator,1.0,,+100%
58843,Beloved Neural Matrix,0.0,150 ly,
58844,Glorious Hive Stem,1.0,,+100%
58845,Tremendous Lobes,1.0,,+100%
58846,Glassy Hive Stem,0.78,189 ly,
58847,Glorious Lobes,0.86,193 ly,
58848,Tremendous Stellar Processor,0.08,154 ly,
58849,Engorged Cluster Stem,0.1,155 ly,
58850,Engorged Hive Stem,1.0,,+100%
58851,Beloved Cluster Stem,0.8,190 ly,
58852,Tremendous Bio-Reality Generator,0.22,161 ly,
58853,Engorged Sensory Veil,1.0,,+100%
58854,Engorged Emotal Core,1.0,,+100%
58855,Beloved Neural Matrix,0.28,164 ly,
58856,Engorged Emotal Core,0.16,158 ly,
58857,Engorged Lobe Actuator,1.0,,+100%
58858,Beloved Bio-Reality Generator,0.26,163 ly,
58859,Beloved Lobes,1.0,,+100%
58860,Beloved Lobes,0.08,154 ly,
58861,Glassy Lobe Actuator,0.6,180 ly,
58862,Beloved Lobes,1.0,,+100%
58863,Engorged Bio-Reality Generator,1.0,,+100%
58864,Engorged Stellar Processor,1.0,,+100%
58865,Glassy Stellar Processor,1.0,,+100%
58866,Beloved Memory Calculus,0.48,174 ly,
58867,Tremendous Cluster Stem,0.04,152 ly,
58868,Tremendous Lobes,1.0,,+100%
58869,Glassy Lobe Actuator,0.32,166 ly,
58870,Beloved Lobes,1.0,,+100%
58871,Tremendous Sensory Veil,1.0,,+100%
58872,Beloved Cluster Stem,1.0,,+100%
58873,Glorious Memory Calculus,0.72,186 ly,
58874,Beloved Stellar Processor,1.0,,+100%
58875,Glorious Memory Calculus,1.0,,+100%
58876,Beloved Cluster Stem,1.0,,+100%
58877,Glorious Lobe Actuator,0.64,182 ly,
58878,Tremendous Sensory Veil,1.0,,+100%
58879,Engorged Stellar Processor,1.0,,+100%
58880,Engorged Emotal Core,1.0,,+100%
58881,Glorious Memory Calculus,1.0,,+100%
58882,Glorious Hive Stem,1.0,,+100%
58883,Tremendous Stellar Processor,0.0,150 ly,
58884,Tremendous Hive Stem,1.0,,+100%
58885,Engorged Lobes,0.38,169 ly,
58886,Tremendous Emotal Core,0.38,169 ly,
58887,Glassy Cluster Stem,0.32,166 ly,
58888,Beloved Lobes,0.8,190 ly,
58889,Tremendous Stellar Processor,1.0,,+100%
58890,Tremendous Neural Matrix,1.0,,+100%
58891,Tremendous Cluster Stem,1.0,,+100%
58892,Glorious Cluster Stem,0.4,170 ly,
58893,Glassy Lobes,0.12,156 ly,
58894,Glassy Emotal Core,1.0,,+100%
58895,Glorious Hive Stem,1.0,,+100%
58896,Beloved Memory Calculus,0.0,150 ly,
58897,Tremendous Cluster Stem,0.22,161 ly,
58898,Engorged Sensory Veil,0.38,169 ly,
58899,Glassy Stellar Processor,0.02,151 ly,
58900,Beloved Sensory Veil,1.0,,+100%
58901,Glassy Sensory Veil,1.0,,+100%
58902,Glassy Lobes,1.0,,+100%
58903,Glassy Neural Matrix,0.02,151 ly,
58904,Tremendous Sensory Veil,0.32,166 ly,
58905,Glassy Neural Matrix,0.0,150 ly,
58906,Engorged Lobe Actuator,0.46,173 ly,
58907,Tremendous Sensory Veil,1.0,,+100%
58908,Tremendous Sensory Veil,0.86,193 ly,
58909,Beloved Emotal Core,1.0,,+100%
58910,Beloved Hive Stem,0.9,195 ly,
58911,Engorged Hive Stem,0.06,153 ly,
58912,Tremendous Emotal Core,1.0,,+100%
58913,Beloved Cluster Stem,1.0,,+100%
58914,Beloved Hive Stem,1.0,,+100%
58915,Beloved Hive Stem,0.02,151 ly,
58916,Beloved Bio-Reality Generator,1.0,,+100%
58917,Tremendous Stellar Processor,1.0,,+100%
58918,Glassy Neural Matrix,1.0,,+100%
58919,Engorged Stellar Processor,1.0,,+100%
58920,Glorious Sensory Veil,0.6,180 ly,
58921,Engorged Sensory Veil,0.0,150 ly,
58922,Tremendous Sensory Veil,0.78,189 ly,
58923,Engorged Neural Matrix,1.0,,+100%
58924,Engorged Stellar Processor,1.0,,+100%
58925,Tremendous Sensory Veil,0.48,174 ly,
58926,Glorious Cluster Stem,1.0,,+100%
58927,Beloved Lobes,0.34,167 ly,
58928,Engorged Hive Stem,1.0,,+100%
58929,Engorged Stellar Processor,0.42,171 ly,
58930,Glassy Lobes,0.22,161 ly,
58931,Beloved Bio-Reality Generator,0.0,150 ly,
58932,Engorged Lobe Actuator,1.0,,+100%
58933,Tremendous Bio-Reality Generator,0.26,163 ly,
58934,Glorious Bio-Reality Generator,0.06,153 ly,
58935,Glorious Neural Matrix,1.0,,+100%
58936,Beloved Hive Stem,0.84,192 ly,
58937,Glorious Bio-Reality Generator,1.0,,+100%
58938,Glorious Lobe Actuator,1.0,200 ly,
58939,Glassy Neural Matrix,1.0,,+100%
58940,Beloved Sensory Veil,0.04,152 ly,
58941,Glorious Hive Stem,0.02,151 ly,
58942,Tremendous Bio-Reality Generator,1.0,,+100%
58943,Glorious Hive Stem,1.0,,+100%
58944,Tremendous Lobe Actuator,0.48,174 ly,
58945,Glassy Lobes,0.4,170 ly,
58946,Glassy Lobes,0.24,162 ly,
58947,Glorious Hive Stem,1.0,,+100%
58948,Engorged Sensory Veil,1.0,,+100%
58949,Tremendous Hive Stem,0.06,153 ly,
58950,Glassy Lobes,1.0,,+100%
58951,Glassy Hive Stem,0.28,164 ly,
58952,Glorious Stellar Processor,1.0,,+100%
58953,Glorious Lobe Actuator,0.2,160 ly,
58954,Glorious Hive Stem,1.0,,+100%
58955,Tremendous Memory Calculus,0.82,191 ly,
58956,Glorious Lobes,0.0,150 ly,
58957,Glorious Emotal Core,0.12,156 ly,
58958,Glorious Cluster Stem,0.22,161 ly,
58959,Engorged Memory Calculus,0.1,155 ly,
58960,Tremendous Cluster Stem,1.0,,+100%
58961,Glorious Sensory Veil,0.6,180 ly,
58962,Beloved Neural Matrix,1.0,,+100%
58963,Glorious Hive Stem,0.44,172 ly,
58964,Glassy Lobe Actuator,0.24,162 ly,
58965,Tremendous Lobes,1.0,,+100%
58966,Engorged Emotal Core,1.0,,+100%
58967,Glorious Sensory Veil,1.0,,+100%
58968,Engorged Lobes,0.02,151 ly,
58969,Glassy Sensory Veil,0.54,177 ly,
58970,Engorged Stellar Processor,1.0,,+100%
58971,Beloved Neural Matrix,0.2,160 ly,
58972,Beloved Lobes,0.04,152 ly,
58973,Glassy Cluster Stem,0.74,187 ly,
58974,Glorious Memory Calculus,0.34,167 ly,
58975,Engorged Bio-Reality Generator,0.02,151 ly,
58976,Engorged Memory Calculus,1.0,,+100%
58977,Tremendous Emotal Core,0.0,150 ly,
58978,Engorged Bio-Reality Generator,0.46,173 ly,
58979,Glassy Cluster Stem,0.84,192 ly,
58980,Glorious Lobes,1.0,,+100%
58981,Beloved Hive Stem,0.68,184 ly,
58982,Glassy Hive Stem,1.0,,+100%
58983,Tremendous Memory Calculus,1.0,,+100%
58984,Tremendous Lobe Actuator,1.0,,+100%
58985,Tremendous Stellar Processor,1.0,,+100%
58986,Engorged Emotal Core,1.0,,+100%
58987,Glassy Lobes,0.24,162 ly,
58988,Beloved Lobes,0.4,170 ly,
58989,Engorged Stellar Processor,0.9,195 ly,
58990,Glorious Stellar Processor,1.0,,+100%
58991,Beloved Sensory Veil,1.0,,+100%
58992,Engorged Stellar Processor,1.0,,+100%
58993,Beloved Lobes,1.0,,+100%
58994,Tremendous Bio-Reality Generator,0.36,168 ly,
58995,Tremendous Sensory Veil,1.0,,+100%
58996,Glorious Stellar Processor,0.5,175 ly,
58997,Glorious Neural Matrix,0.42,171 ly,
58998,Glassy Sensory Veil,1.0,,+100%
58999,Beloved Emotal Core,0.56,178 ly,
59000,Beloved Neural Matrix,0.04,152 ly,
59001,Glorious Bio-Reality Generator,1.0,,+100%
59002,Engorged Lobe Actuator,0.0,150 ly,
59003,Engorged Stellar Processor,0.02,151 ly,
59004,Engorged Lobe Actuator,1.0,,+100%
59005,Glassy Emotal Core,0.04,152 ly,
59006,Glassy Lobe Actuator,0.02,151 ly,
59007,Glassy Bio-Reality Generator,0.0,150 ly,
59008,Tremendous Stellar Processor,0.28,164 ly,
59009,Glassy Sensory Veil,1.0,,+100%
59010,Glorious Lobe Actuator,1.0,,+100%
59011,Glassy Sensory Veil,0.3,165 ly,
59012,Tremendous Stellar Processor,0.34,167 ly,
59013,Tremendous Memory Calculus,1.0,,+100%
59014,Glassy Emotal Core,0.0,150 ly,
59015,Engorged Lobes,1.0,,+100%
59016,Tremendous Lobes,0.86,193 ly,
59017,Engorged Sensory Veil,1.0,,+100%
59018,Glorious Hive Stem,1.0,,+100%
59019,Tremendous Sensory Veil,1.0,,+100%
59020,Glorious Neural Matrix,1.0,,+100%
59021,Beloved Neural Matrix,1.0,,+100%
59022,Beloved Stellar Processor,1.0,,+100%
59023,Tremendous Neural Matrix,0.02,151 ly,
59024,Tremendous Emotal Core,1.0,,+100%
59025,Glorious Cluster Stem,1.0,,+100%
59026,Tremendous Sensory Veil,0.16,158 ly,
59027,Engorged Memory Calculus,1.0,,+100%
59028,Tremendous Bio-Reality Generator,0.62,181 ly,
59029,Engorged Emotal Core,0.32,166 ly,
59030,Tremendous Stellar Processor,0.86,193 ly,
59031,Glassy Lobes,1.0,,+100%
59032,Glorious Hive Stem,1.0,,+100%
59033,Glassy Bio-Reality Generator,1.0,,+100%
59034,Glorious Sensory Veil,0.12,156 ly,
59035,Glassy Memory Calculus,1.0,,+100%
59036,Beloved Hive Stem,0.14,157 ly,
59037,Glassy Lobe Actuator,0.22,161 ly,
59038,Glassy Lobes,1.0,,+100%
59039,Tremendous Lobe Actuator,0.16,158 ly,
59040,Engorged Stellar Processor,1.0,,+100%
59041,Beloved Hive Stem,1.0,,+100%
59042,Tremendous Lobes,1.0,,+100%
59043,Tremendous Lobe Actuator,0.76,188 ly,
59044,Beloved Sensory Veil,0.02,151 ly,
59045,Glorious Cluster Stem,1.0,,+100%
59046,Glorious Lobe Actuator,1.0,,+100%
59047,Glorious Sensory Veil,0.4,170 ly,
59048,Glorious Cluster Stem,0.72,186 ly,
59049,Tremendous Cluster Stem,0.1,155 ly,
59050,Tremendous Bio-Reality Generator,0.16,158 ly,
59051,Tremendous Lobes,0.02,151 ly,
59052,Beloved Emotal Core,0.0,150 ly,
59053,Tremendous Emotal Core,0.14,157 ly,
59054,Beloved Bio-Reality Generator,1.0,,+100%
59055,Glorious Bio-Reality Generator,1.0,,+100%
59056,Glassy Lobe Actuator,1.0,,+100%
59057,Engorged Hive Stem,0.92,196 ly,
59058,Tremendous Lobes,1.0,,+100%
59059,Glorious Hive Stem,0.26,163 ly,
59060,Tremendous Cluster Stem,1.0,,+100%
59061,Engorged Sensory Veil,0.92,196 ly,
59062,Glorious Memory Calculus,0.16,158 ly,
59063,Engorged Hive Stem,0.12,156 ly,
59064,Beloved Cluster Stem,1.0,,+100%
59065,Engorged Neural Matrix,1.0,,+100%
59066,Glassy Lobe Actuator,0.08,154 ly,
59067,Beloved Bio-Reality Generator,1.0,,+100%
59068,Engorged Emotal Core,1.0,,+100%
59069,Glorious Cluster Stem,0.08,154 ly,
59070,Beloved Lobe Actuator,0.0,150 ly,
59071,Engorged Sensory Veil,1.0,,+100%
59072,Beloved Neural Matrix,0.1,155 ly,
59073,Engorged Neural Matrix,1.0,,+100%
59074,Tremendous Memory Calculus,0.74,187 ly,
59075,Engorged Sensory Veil,0.4,170 ly,
59076,Glassy Emotal Core,1.0,,+100%
59077,Engorged Stellar Processor,0.92,196 ly,
59078,Glassy Emotal Core,1.0,,+100%
59079,Beloved Stellar Processor,0.4,170 ly,
59080,Glassy Neural Matrix,0.28,164 ly,
59081,Glassy Neural Matrix,1.0,,+100%
59082,Glorious Sensory Veil,1.0,,+100%
59083,Glassy Emotal Core,0.54,177 ly,
59084,Engorged Sensory Veil,0.72,186 ly,
59085,Glorious Neural Matrix,0.0,150 ly,
59086,Beloved Cluster Stem,1.0,,+100%
59087,Glorious Memory Calculus,1.0,,+100%
59088,Glassy Cluster Stem,1.0,,+100%
59089,Tremendous Neural Matrix,1.0,,+100%
59090,Glorious Memory Calculus,0.74,187 ly,
59091,Glorious Memory Calculus,1.0,,+100%
59092,Tremendous Bio-Reality Generator,0.54,177 ly,
59093,Glassy Hive Stem,1.0,,+100%
59094,Glorious Memory Calculus,1.0,,+100%
59095,Glorious Lobes,0.18,159 ly,
59096,Glorious Bio-Reality Generator,1.0,,+100%
59097,Beloved Neural Matrix,1.0,,+100%
59098,Glassy Stellar Processor,1.0,,+100%
59099,Tremendous Memory Calculus,0.02,151 ly,
59100,Beloved Neural Matrix,1.0,,+100%
59101,Beloved Stellar Processor,0.04,152 ly,
59102,Glassy Lobe Actuator,1.0,,+100%
59103,Tremendous Memory Calculus,0.88,194 ly,
59104,Engorged Memory Calculus,0.0,150 ly,
59105,Beloved Hive Stem,0.7,185 ly,
59106,Glassy Bio-Reality Generator,0.86,193 ly,
59107,Glorious Memory Calculus,0.86,193 ly,
59108,Engorged Lobes,0.68,184 ly,
59109,Beloved Lobes,1.0,,+100%
59110,Glassy Neural Matrix,1.0,,+100%
59111,Engorged Bio-Reality Generator,1.0,,+100%
59112,Engorged Lobes,0.8,190 ly,
59113,Engorged Emotal Core,1.0,,+100%
59114,Engorged Bio-Reality Generator,1.0,,+100%
59115,Glassy Hive Stem,0.56,178 ly,
59116,Glassy Stellar Processor,1.0,,+100%
59117,Engorged Lobes,0.24,162 ly,
59118,Tremendous Emotal Core,0.02,151 ly,
59119,Glorious Stellar Processor,1.0,,+100%
59120,Tremendous Sensory Veil,0.32,166 ly,
59121,Glorious Bio-Reality Generator,1.0,200 ly,
59122,Glassy Hive Stem,0.96,198 ly,
59123,Engorged Sensory Veil,1.0,,+100%
59124,Glorious Memory Calculus,1.0,,+100%
59125,Beloved Emotal Core,0.16,158 ly,
59126,Engorged Stellar Processor,0.24,162 ly,
59127,Tremendous Memory Calculus,1.0,,+100%
59128,Tremendous Sensory Veil,1.0,,+100%
59129,Glassy Sensory Veil,1.0,,+100%
59130,Tremendous Memory Calculus,0.0,150 ly,
59131,Glorious Lobes,1.0,,+100%
59132,Beloved Hive Stem,1.0,,+100%
59133,Glorious Stellar Processor,1.0,,+100%
59134,Glassy Hive Stem,1.0,,+100%
59135,Beloved Memory Calculus,0.02,151 ly,
59136,Tremendous Memory Calculus,1.0,,+100%
59137,Tremendous Neural Matrix,0.92,196 ly,
59138,Beloved Lobes,0.28,164 ly,
59139,Engorged Cluster Stem,1.0,,+100%
59140,Glorious Bio-Reality Generator,0.12,156 ly,
59141,Tremendous Hive Stem,1.0,,+100%
59142,Glorious Hive Stem,1.0,,+100%
59143,Engorged Stellar Processor,0.26,163 ly,
59144,Beloved Stellar Processor,0.06,153 ly,
59145,Tremendous Emotal Core,0.06,153 ly,
59146,Engorged Hive Stem,0.04,152 ly,
59147,Engorged Cluster Stem,1.0,,+100%
59148,Beloved Stellar Processor,0.6,180 ly,
59149,Engorged Hive Stem,0.06,153 ly,
59150,Beloved Cluster Stem,0.18,159 ly,
59151,Engorged Lobe Actuator,1.0,,+100%
59152,Beloved Neural Matrix,0.16,158 ly,
59153,Glorious Sensory Veil,0.18,159 ly,
59154,Beloved Lobe Actuator,1.0,,+100%
59155,Beloved Sensory Veil,0.42,171 ly,
59156,Glorious Stellar Processor,0.02,151 ly,
59157,Glorious Lobe Actuator,1.0,,+100%
59158,Glassy Memory Calculus,1.0,,+100%
59159,Engorged Neural Matrix,0.3,165 ly,
59160,Glorious Sensory Veil,0.2,160 ly,
59161,Tremendous Cluster Stem,0.6,180 ly,
59162,Glorious Bio-Reality Generator,1.0,,+100%
59163,Engorged Memory Calculus,0.4,170 ly,
59164,Glassy Lobes,1.0,,+100%
59165,Beloved Memory Calculus,0.2,160 ly,
59166,Glorious Lobes,0.62,181 ly,
59167,Glassy Memory Calculus,0.06,153 ly,
59168,Engorged Emotal Core,1.0,,+100%
59169,Beloved Bio-Reality Generator,1.0,,+100%
59170,Engorged Bio-Reality Generator,1.0,,+100%
59171,Tremendous Bio-Reality Generator,0.02,151 ly,
59172,Glorious Cluster Stem,1.0,,+100%
59173,Beloved Lobe Actuator,0.56,178 ly,
59174,Beloved Neural Matrix,0.28,164 ly,
59175,Beloved Cluster Stem,0.64,182 ly,
59176,Glorious Memory Calculus,0.36,168 ly,
59177,Beloved Emotal Core,0.6,180 ly,
59178,Engorged Neural Matrix,1.0,,+100%
59179,Glassy Emotal Core,1.0,,+100%
59180,Engorged Stellar Processor,0.12,156 ly,
59181,Tremendous Neural Matrix,1.0,,+100%
59182,Glorious Bio-Reality Generator,1.0,,+100%
59183,Glorious Lobe Actuator,0.04,152 ly,
59184,Engorged Hive Stem,0.06,153 ly,
59185,Tremendous Cluster Stem,0.2,160 ly,
59186,Glorious Stellar Processor,1.0,,+100%
59187,Tremendous Stellar Processor,1.0,,+100%
59188,Engorged Hive Stem,0.58,179 ly,
59189,Glassy Bio-Reality Generator,0.2,160 ly,
59190,Tremendous Bio-Reality Generator,0.08,154 ly,
59191,Engorged Lobes,0.7,185 ly,
59192,Tremendous Sensory Veil,0.92,196 ly,
59193,Glorious Sensory Veil,0.0,150 ly,
59194,Glassy Neural Matrix,0.2,160 ly,
59195,Engorged Bio-Reality Generator,1.0,,+100%
59196,Engorged Stellar Processor,1.0,,+100%
59197,Beloved Sensory Veil,0.04,152 ly,
59198,Glassy Hive Stem,0.7,185 ly,
59199,Tremendous Lobe Actuator,0.26,163 ly,
59200,Engorged Cluster Stem,1.0,,+100%
59201,Tremendous Stellar Processor,1.0,,+100%
59202,Engorged Sensory Veil,0.1,155 ly,
59203,Glassy Stellar Processor,1.0,,+100%
59204,Glorious Memory Calculus,1.0,,+100%
59205,Glorious Lobes,1.0,,+100%
59206,Glorious Bio-Reality Generator,1.0,,+100%
59207,Engorged Lobes,0.22,161 ly,
59208,Glorious Cluster Stem,1.0,,+100%
59209,Glorious Neural Matrix,1.0,,+100%
59210,Glassy Sensory Veil,1.0,,+100%
59211,Glorious Hive Stem,0.06,153 ly,
59212,Glorious Emotal Core,1.0,,+100%
59213,Engorged Cluster Stem,0.24,162 ly,
59214,Glorious Memory Calculus,0.1,155 ly,
59215,Beloved Lobes,0.12,156 ly,
59216,Glassy Sensory Veil,1.0,,+100%
59217,Tremendous Lobe Actuator,1.0,,+100%
59218,Engorged Lobe Actuator,1.0,,+100%
59219,Beloved Sensory Veil,0.2,160 ly,
59220,Beloved Bio-Reality Generator,1.0,,+100%
59221,Tremendous Emotal Core,0.6,180 ly,
59222,Glassy Hive Stem,0.08,154 ly,
59223,Glassy Lobes,0.06,153 ly,
59224,Beloved Hive Stem,0.0,150 ly,
59225,Beloved Bio-Reality Generator,1.0,,+100%
59226,Beloved Bio-Reality Generator,0.1,155 ly,
59227,Glorious Memory Calculus,0.6,180 ly,
59228,Glorious Lobe Actuator,1.0,,+100%
59229,Glorious Lobes,0.04,152 ly,
59230,Tremendous Stellar Processor,1.0,,+100%
59231,Glorious Lobe Actuator,0.04,152 ly,
59232,Glorious Lobe Actuator,1.0,,+100%
59233,Tremendous Emotal Core,0.06,153 ly,
59234,Beloved Neural Matrix,0.64,182 ly,
59235,Beloved Hive Stem,1.0,,+100%
59236,Tremendous Cluster Stem,1.0,,+100%
59237,Glorious Lobe Actuator,1.0,,+100%
59238,Tremendous Bio-Reality Generator,0.16,158 ly,
59239,Glorious Sensory Veil,1.0,,+100%
59240,Engorged Sensory Veil,1.0,,+100%
59241,Beloved Stellar Processor,0.2,160 ly,
59242,Glorious Lobe Actuator,0.24,162 ly,
59243,Beloved Emotal Core,1.0,,+100%
59244,Glassy Bio-Reality Generator,1.0,,+100%
59245,Tremendous Sensory Veil,0.32,166 ly,
59246,Glassy Neural Matrix,1.0,,+100%
59247,Glorious Stellar Processor,1.0,,+100%
59248,Tremendous Hive Stem,0.7,185 ly,
59249,Tremendous Memory Calculus,1.0,,+100%
59250,Beloved Hive Stem,1.0,,+100%
59251,Beloved Bio-Reality Generator,0.44,172 ly,
59252,Beloved Stellar Processor,1.0,,+100%
59253,Glassy Memory Calculus,0.04,152 ly,
59254,Engorged Bio-Reality Generator,1.0,,+100%
59255,Engorged Lobes,0.26,163 ly,
59256,Beloved Hive Stem,0.54,177 ly,
59257,Engorged Bio-Reality Generator,0.02,151 ly,
59258,Glorious Neural Matrix,1.0,,+100%
59259,Glorious Lobe Actuator,0.2,160 ly,
59260,Tremendous Lobe Actuator,0.3,165 ly,
59261,Glorious Sensory Veil,1.0,,+100%
59262,Glorious Cluster Stem,1.0,,+100%
59263,Tremendous Memory Calculus,1.0,,+100%
59264,Engorged Cluster Stem,0.2,160 ly,
59265,Engorged Memory Calculus,0.02,151 ly,
59266,Glassy Memory Calculus,1.0,,+100%
59267,Engorged Sensory Veil,0.4,170 ly,
59268,Beloved Emotal Core,0.02,151 ly,
59269,Beloved Neural Matrix,0.06,153 ly,
59270,Beloved Sensory Veil,0.06,153 ly,
59271,Tremendous Emotal Core,1.0,,+100%
59272,Glassy Stellar Processor,1.0,,+100%
59273,Beloved Lobes,1.0,,+100%
59274,Tremendous Hive Stem,1.0,,+100%
59275,Glorious Memory Calculus,0.26,163 ly,
59276,Beloved Emotal Core,1.0,,+100%
59277,Beloved Bio-Reality Generator,1.0,,+100%
59278,Beloved Emotal Core,0.16,158 ly,
59279,Engorged Bio-Reality Generator,1.0,,+100%
59280,Beloved Stellar Processor,0.94,197 ly,
59281,Glassy Neural Matrix,0.12,156 ly,
59282,Tremendous Hive Stem,0.0,150 ly,
59283,Engorged Emotal Core,0.68,184 ly,
59284,Engorged Emotal Core,0.76,188 ly,
59285,Glassy Sensory Veil,1.0,,+100%
59286,Glorious Stellar Processor,0.4,170 ly,
59287,Glorious Stellar Processor,0.0,150 ly,
59288,Glassy Sensory Veil,0.06,153 ly,
59289,Beloved Cluster Stem,1.0,,+100%
59290,Beloved Memory Calculus,0.58,179 ly,
59291,Glorious Hive Stem,0.0,150 ly,
59292,Glassy Emotal Core,0.88,194 ly,
59293,Glorious Neural Matrix,1.0,,+100%
59294,Tremendous Cluster Stem,1.0,,+100%
59295,Beloved Lobes,1.0,,+100%
59296,Engorged Lobe Actuator,1.0,,+100%
59297,Beloved Sensory Veil,1.0,,+100%
59298,Beloved Lobes,1.0,200 ly,
59299,Glorious Sensory Veil,0.02,151 ly,
59300,Tremendous Bio-Reality Generator,1.0,,+100%
59301,Beloved Bio-Reality Generator,1.0,,+100%
59302,Glassy Stellar Processor,1.0,,+100%
59303,Beloved Lobes,1.0,,+100%
59304,Glassy Lobes,1.0,,+100%
59305,Engorged Lobe Actuator,1.0,,+100%
59306,Beloved Stellar Processor,0.06,153 ly,
59307,Glorious Lobe Actuator,0.18,159 ly,
59308,Beloved Bio-Reality Generator,1.0,,+100%
59309,Engorged Lobe Actuator,1.0,,+100%
59310,Glorious Bio-Reality Generator,1.0,,+100%
59311,Glassy Emotal Core,0.02,151 ly,
59312,Beloved Lobes,1.0,,+100%
59313,Glorious Sensory Veil,0.44,172 ly,
59314,Engorged Memory Calculus,1.0,,+100%
